0.1 : xiii
0.2 : xiii,xiv
0.3 : xiv,xv
0.4 : xv
0.5 : xv,xvi
0.6 : xvi
0.7 : xvi,xvii
0.8 : xvii
0.9 : xvii,xviii
0.10 : xviii,xix
0.7n1 : xvii
1.1.1.1 : 1,2
1.1.1.2 : 2
1.1.1.3 : 2,3
1.1.1.4 : 3
1.1.1.5 : 3,4
1.1.1.6 : 4
1.1.1.7 : 4
1.1.1.8 : 4,5
1.1.1.9 : 5
1.1.1.10 : 5,6
1.1.1.11 : 6,7
1.1.1.12 : 7
1.1.1.1n2 : 2
1.1.2.1 : 7,8
1.1.3.1 : 8,9
1.1.3.2 : 9
1.1.3.3 : 9
1.1.3.4 : 10
1.1.3.1n3 : 9
1.1.4.1 : 10,11
1.1.4.2 : 11
1.1.4.3 : 11,12
1.1.4.4 : 12
1.1.4.5 : 12
1.1.4.6 : 12,13
1.1.4.7 : 13
1.1.5.1 : 13,14
1.1.5.2 : 14
1.1.5.3 : 14
1.1.5.4 : 14
1.1.5.5 : 14
1.1.5.6 : 14,15
1.1.5.7 : 15
1.1.5.8 : 15
1.1.5.9 : 15
1.1.5.10 : 15
1.1.6.1 : 15,16
1.1.6.2 : 16
1.1.6.3 : 17
1.1.7.1 : 17
1.1.7.2 : 17,18
1.1.7.3 : 18,19
1.1.7.4 : 19
1.1.7.5 : 19
1.1.7.6 : 19,20
1.1.7.7 : 20,21
1.1.7.8 : 21
1.1.7.9 : 21,22
1.1.7.10 : 22
1.1.7.11 : 22
1.1.7.12 : 22,23
1.1.7.13 : 23
1.1.7.14 : 23
1.1.7.15 : 23,24
1.1.7.16 : 24
1.1.7.17 : 24,25
1.1.7.18 : 25
1.1.7.1n4 : 17
1.1.7.7n5 : 637
1.2.1.1 : 26
1.2.1.2 : 26,27
1.2.1.3 : 27
1.2.1.4 : 27,28
1.2.1.5 : 28
1.2.2.1 : 29
1.2.2.2 : 29,30
1.2.2.3 : 30,31
1.2.2.4 : 31
1.2.2.5 : 31
1.2.2.6 : 31,32
1.2.2.7 : 32
1.2.2.8 : 32
1.2.2.9 : 32
1.2.2.10 : 33
1.2.2.2n6 : 30
1.2.2.3n7 : 30
1.2.3.1 : 33
1.2.3.2 : 33
1.2.3.3 : 33,34
1.2.3.4 : 34
1.2.3.5 : 34
1.2.3.6 : 34,35
1.2.3.7 : 35
1.2.3.8 : 35,36
1.2.3.9 : 36
1.2.3.10 : 36,37
1.2.3.11 : 37
1.2.3.12 : 38
1.2.3.13 : 38
1.2.3.14 : 38
1.2.3.15 : 38,39
1.2.3.16 : 39
1.2.3.17 : 39
1.2.3.7n8 : 35
1.2.3.11n9 : 37
1.2.4.1 : 39
1.2.4.2 : 39,40
1.2.4.3 : 40
1.2.4.4 : 40,41
1.2.4.5 : 41
1.2.4.6 : 41
1.2.4.7 : 41,42
1.2.4.8 : 42
1.2.4.9 : 42
1.2.4.10 : 42,43
1.2.4.11 : 43
1.2.4.12 : 43
1.2.4.13 : 43
1.2.4.14 : 43,44
1.2.4.15 : 44
1.2.4.16 : 44
1.2.4.17 : 44,45
1.2.4.18 : 45
1.2.4.19 : 45
1.2.4.20 : 46
1.2.4.21 : 46,47
1.2.4.22 : 47
1.2.4.23 : 47
1.2.4.24 : 47,48,49
1.2.4.25 : 49
1.2.4.26 : 49,50
1.2.4.27 : 50
1.2.4.28 : 50
1.2.4.29 : 50,51
1.2.4.30 : 51,52
1.2.4.31 : 638
1.2.4.32 : 52
1.2.4.33 : 53
1.2.4.12n10 : 43
1.2.4.21n11 : 46
1.2.5.1 : 53,54
1.2.5.2 : 54
1.2.5.3 : 54,55
1.2.5.4 : 55
1.2.5.5 : 55,56
1.2.5.6 : 56
1.2.5.7 : 56
1.2.5.8 : 56
1.2.5.9 : 56,57
1.2.5.10 : 57
1.2.5.11 : 57
1.2.5.12 : 57,58
1.2.5.13 : 58
1.2.5.14 : 58
1.2.5.15 : 58,59
1.2.5.16 : 59
1.2.5.17 : 59
1.2.5.18 : 59
1.2.5.19 : 60
1.2.5.20 : 60,61
1.2.5.21 : 61,62
1.2.5.22 : 62
1.2.5.23 : 62,63
1.2.5.24 : 63
1.2.5.25 : 63,64
1.2.5.26 : 64
1.2.5.27 : 64
1.2.5.28 : 64,65
1.2.5.29 : 65
1.2.5.26n12 : 638,639
1.2.6.1 : 66
1.2.6.2 : 66
1.2.6.3 : 66
1.2.6.4 : 66,67
1.2.6.5 : 67
1.2.6.6 : 67
1.2.6.7 : 67
1.2.6.8 : 67,68
1.2.6.9 : 68
1.2.6.6n13 : 67
1.2.6.9n14 : 68
1.3.1.1 : 69,70
1.3.1.2 : 70
1.3.1.3 : 70
1.3.1.4 : 70,71
1.3.1.5 : 71
1.3.1.6 : 71,72
1.3.1.7 : 72,73
1.3.1.1n15 : 69
1.3.2.1 : 73
1.3.2.2 : 73,74
1.3.2.3 : 74
1.3.2.4 : 74,75
1.3.2.5 : 75
1.3.2.6 : 75
1.3.2.7 : 75,76
1.3.2.8 : 76
1.3.2.9 : 76,77
1.3.2.10 : 77
1.3.2.11 : 77
1.3.2.12 : 77
1.3.2.13 : 77,78
1.3.2.14 : 78
1.3.2.15 : 78
1.3.2.16 : 78
1.3.2.6n16 : 75
1.3.3.1 : 78,79
