xiii : 0.1,0.2
xiv : 0.2,0.3
xv : 0.3,0.4,0.5
xvi : 0.5,0.6,0.7
xvii : 0.7,0.8,0.9,0.7n1
xviii : 0.9,0.10
xix : 0.10
1 : 1.1.1.1
2 : 1.1.1.1,1.1.1.2,1.1.1.3,1.1.1.1n2
3 : 1.1.1.3,1.1.1.4,1.1.1.5
4 : 1.1.1.5,1.1.1.6,1.1.1.7,1.1.1.8
5 : 1.1.1.8,1.1.1.9,1.1.1.10
6 : 1.1.1.10,1.1.1.11
7 : 1.1.1.11,1.1.1.12,1.1.2.1
8 : 1.1.2.1,1.1.3.1
9 : 1.1.3.1,1.1.3.2,1.1.3.3,1.1.3.1n3
10 : 1.1.3.4,1.1.4.1
11 : 1.1.4.1,1.1.4.2,1.1.4.3
12 : 1.1.4.3,1.1.4.4,1.1.4.5,1.1.4.6
13 : 1.1.4.6,1.1.4.7,1.1.5.1
14 : 1.1.5.1,1.1.5.2,1.1.5.3,1.1.5.4,1.1.5.5,1.1.5.6
15 : 1.1.5.6,1.1.5.7,1.1.5.8,1.1.5.9,1.1.5.10,1.1.6.1
16 : 1.1.6.1,1.1.6.2
17 : 1.1.6.3,1.1.7.1,1.1.7.2,1.1.7.1n4
18 : 1.1.7.2,1.1.7.3
19 : 1.1.7.3,1.1.7.4,1.1.7.5,1.1.7.6
20 : 1.1.7.6,1.1.7.7
21 : 1.1.7.7,1.1.7.8,1.1.7.9
22 : 1.1.7.9,1.1.7.10,1.1.7.11,1.1.7.12
23 : 1.1.7.12,1.1.7.13,1.1.7.14,1.1.7.15
24 : 1.1.7.15,1.1.7.16,1.1.7.17
25 : 1.1.7.17,1.1.7.18
637 : 1.1.7.7n5
26 : 1.2.1.1,1.2.1.2
27 : 1.2.1.2,1.2.1.3,1.2.1.4
28 : 1.2.1.4,1.2.1.5
29 : 1.2.2.1,1.2.2.2
30 : 1.2.2.2,1.2.2.3,1.2.2.2n6,1.2.2.3n7
31 : 1.2.2.3,1.2.2.4,1.2.2.5,1.2.2.6
32 : 1.2.2.6,1.2.2.7,1.2.2.8,1.2.2.9
33 : 1.2.2.10,1.2.3.1,1.2.3.2,1.2.3.3
34 : 1.2.3.3,1.2.3.4,1.2.3.5,1.2.3.6
35 : 1.2.3.6,1.2.3.7,1.2.3.8,1.2.3.7n8
36 : 1.2.3.8,1.2.3.9,1.2.3.10
37 : 1.2.3.10,1.2.3.11,1.2.3.11n9
38 : 1.2.3.12,1.2.3.13,1.2.3.14,1.2.3.15
39 : 1.2.3.15,1.2.3.16,1.2.3.17,1.2.4.1,1.2.4.2
40 : 1.2.4.2,1.2.4.3,1.2.4.4
41 : 1.2.4.4,1.2.4.5,1.2.4.6,1.2.4.7
42 : 1.2.4.7,1.2.4.8,1.2.4.9,1.2.4.10
43 : 1.2.4.10,1.2.4.11,1.2.4.12,1.2.4.13,1.2.4.14,1.2.4.12n10
44 : 1.2.4.14,1.2.4.15,1.2.4.16,1.2.4.17
45 : 1.2.4.17,1.2.4.18,1.2.4.19
46 : 1.2.4.20,1.2.4.21,1.2.4.21n11
47 : 1.2.4.21,1.2.4.22,1.2.4.23,1.2.4.24
48 : 1.2.4.24
49 : 1.2.4.24,1.2.4.25,1.2.4.26
50 : 1.2.4.26,1.2.4.27,1.2.4.28,1.2.4.29
51 : 1.2.4.29,1.2.4.30
52 : 1.2.4.30,1.2.4.32
638 : 1.2.4.31,1.2.5.26n12
53 : 1.2.4.33,1.2.5.1
54 : 1.2.5.1,1.2.5.2,1.2.5.3
55 : 1.2.5.3,1.2.5.4,1.2.5.5
