Paragraph,Strict Score,Agressive Score,Difference
App.20,2.886,2.192,0.694
1.4.6.16,2.652,2.083,0.569
1.4.6.3,2.218,1.6650000000000005,0.5529999999999995
1.4.6.2,2.403,1.883,0.52
1.4.6.19,2.338,1.838,0.5
1.4.6.4,2.6260000000000003,2.148,0.4780000000000002
1.4.6.18,2.155,1.7680000000000002,0.38699999999999957
App.10,1.1769999999999998,0.8410000000000001,0.33599999999999974
App.21,1.327,1.02,0.30699999999999994
1.4.6.5,1.6640000000000001,1.365,0.29900000000000015
1.1.1.3,0.064,0.361,0.297
Abs35,0.9009999999999999,0.633,0.2679999999999999
1.4.6.17,0.996,0.759,0.237
1.4.6.20,1.745,1.5090000000000001,0.236
1.4.6.1,1.053,0.8270000000000001,0.22599999999999987
1.4.6.6,1.9409999999999998,1.7160000000000002,0.22499999999999964
1.4.6.15,1.2770000000000001,1.058,0.21900000000000008
1.1.1.10,0.094,0.311,0.217
1.4.3.9,0.7559999999999999,0.5680000000000001,0.18799999999999983
1.1.1.1n2,0.06,0.24100000000000002,0.18100000000000002
1.1.1.11,0.384,0.5539999999999999,0.16999999999999993
App.22,0.8619999999999999,0.6940000000000001,0.16799999999999982
App.19,0.8170000000000001,0.65,0.16700000000000004
2.1.2.2,0.735,0.5680000000000001,0.16699999999999993
1.4.2.39,0.848,0.6839999999999999,0.16400000000000003
1.1.1.5,0.019,0.183,0.164
1.1.1.2,0.14400000000000002,0.3,0.15599999999999997
1.4.6.22,0.523,0.36700000000000005,0.15599999999999997
1.1.1.1,0.542,0.6970000000000001,0.15500000000000003
1.3.11.13,0.001,0.153,0.152
1.2.4.30,0.0,0.147,0.147
1.4.5.5,0.49,0.344,0.14600000000000002
1.2.5.1,0.001,0.14300000000000002,0.14200000000000002
1.2.4.24,0.01,0.152,0.142
Abs28,0.501,0.361,0.14
1.3.11.12,0.001,0.141,0.13999999999999999
1.1.7.2,0.092,0.226,0.134
1.3.11.3,0.001,0.133,0.132
1.2.4.33,0.0,0.132,0.132
1.3.1.1,0.006,0.13699999999999998,0.13099999999999998
1.4.6.23,0.435,0.305,0.13
1.3.10.8,0.001,0.128,0.127
1.3.14.12,0.473,0.34700000000000003,0.12599999999999995
App.17,0.7240000000000001,0.599,0.1250000000000001
App.11,0.469,0.344,0.125
1.4.5.3,0.485,0.36,0.125
1.3.12.6,0.001,0.12300000000000001,0.12200000000000001
1.3.8.13,0.009000000000000001,0.131,0.122
1.3.14.12n30,0.458,0.336,0.122
App.18,0.65,0.5329999999999999,0.1170000000000001
1.1.1.4,0.003,0.12,0.11699999999999999
1.3.1.1n15,0.001,0.118,0.11699999999999999
1.3.11.1,0.001,0.118,0.11699999999999999
1.3.11.2,0.001,0.118,0.11699999999999999
1.1.5.1,0.106,0.22100000000000006,0.11500000000000006
1.1.7.17,0.07400000000000001,0.18899999999999997,0.11499999999999996
1.3.5.3,0.014,0.128,0.114
1.3.12.19,0.001,0.109,0.108
1.1.7.6,0.107,0.215,0.108
1.3.12.20,0.001,0.109,0.108
1.1.2.1,0.196,0.304,0.10799999999999998
1.1.4.6,0.20800000000000002,0.315,0.10699999999999998
1.3.6.3,0.006,0.112,0.106
2.1.11.4,0.439,0.33399999999999996,0.10500000000000004
1.3.8.10,0.004,0.10800000000000001,0.10400000000000001
1.3.12.5,0.001,0.10400000000000001,0.10300000000000001
1.3.14.31,0.418,0.316,0.10199999999999998
1.3.6.4,0.006,0.107,0.10099999999999999
App.20n89,0.5950000000000001,0.4950000000000001,0.09999999999999998
1.3.14.13,0.452,0.35200000000000004,0.09999999999999998
1.3.14.27,0.32899999999999996,0.231,0.09799999999999995
1.1.7.7,0.231,0.32899999999999996,0.09799999999999995
2.2.2.9,0.025,0.12,0.095
1.3.10.3,0.001,0.094,0.093
1.1.7.18,0.086,0.17800000000000002,0.09200000000000003
1.3.13.4,0.005,0.09699999999999999,0.09199999999999998
1.4.5.35,0.604,0.512,0.09199999999999997
1.4.2.20,0.028999999999999998,0.119,0.09
2.1.11.5,0.32,0.231,0.089
2.1.2.5,0.34600000000000003,0.258,0.08800000000000002
1.3.12.2,0.001,0.08900000000000001,0.08800000000000001
1.4.6.13,0.402,0.4890000000000001,0.08700000000000008
1.3.6.1,0.003,0.09,0.087
1.4.5.14,0.045,0.13,0.085
1.1.4.7,0.112,0.196,0.084
1.4.7.1,0.279,0.196,0.08300000000000002
2.1.2.3,0.452,0.369,0.08300000000000002
1.4.5.30,0.279,0.196,0.08300000000000002
1.2.2.2,0.042,0.125,0.08299999999999999
1.4.2.56,0.425,0.342,0.08299999999999996
1.4.2.13,0.008,0.08900000000000001,0.08100000000000002
1.4.2.11,0.008,0.08900000000000001,0.08100000000000002
1.3.9.9,0.0,0.08099999999999999,0.08099999999999999
1.1.1.8,0.131,0.212,0.08099999999999999
1.1.4.3,0.17300000000000001,0.252,0.07899999999999999
1.2.4.29,0.01,0.08800000000000001,0.07800000000000001
1.3.12.17,0.001,0.079,0.078
1.4.6.6n50,0.555,0.478,0.07700000000000007
1.3.14.26,0.28200000000000003,0.205,0.07700000000000004
1.3.8.2,0.003,0.08,0.077
1.3.13.2,0.005,0.08199999999999999,0.07699999999999999
2.2.6.2,0.306,0.229,0.07699999999999999
1.4.2.7,0.359,0.28200000000000003,0.07699999999999996
1.1.7.9,0.08499999999999999,0.16,0.07500000000000001
1.3.3.3,0.011,0.086,0.075
1.4.5.33,0.251,0.17600000000000002,0.07499999999999998
1.4.6.21,0.544,0.47,0.07400000000000007
1.3.9.10,0.0,0.07400000000000001,0.07400000000000001
1.3.9.13,0.0,0.07400000000000001,0.07400000000000001
1.3.14.1,0.048,0.122,0.074
1.3.8.14,0.047,0.121,0.074
1.4.2.31,0.243,0.16999999999999998,0.07300000000000001
1.4.2.35n39,0.08800000000000001,0.16,0.072
1.1.7.1n4,0.005,0.077,0.072
1.1.7.1,0.005,0.077,0.072
1.4.7.14,0.24,0.168,0.07199999999999998
1.4.7.3,0.27,0.19899999999999998,0.07100000000000004
1.4.5.32,0.238,0.16699999999999998,0.07100000000000001
1.2.5.26,0.28700000000000003,0.21600000000000003,0.07100000000000001
1.2.2.1,0.01,0.08099999999999999,0.071
1.3.2.2,0.064,0.133,0.069
1.2.5.23,0.001,0.06999999999999999,0.06899999999999999
1.3.14.32,0.28,0.212,0.06800000000000003
1.3.14.24,0.253,0.185,0.068
2.2.2.15,0.36,0.292,0.068
1.3.10.7,0.001,0.06899999999999999,0.06799999999999999
1.3.10.6,0.001,0.06899999999999999,0.06799999999999999
1.4.7.2,0.256,0.18899999999999997,0.06700000000000003
1.3.8.8,0.003,0.06999999999999999,0.06699999999999999
1.3.8.4,0.003,0.06999999999999999,0.06699999999999999
1.3.13.20,0.026000000000000002,0.092,0.066
1.4.2.12,0.008,0.07400000000000001,0.066
1.3.8.12,0.003,0.06899999999999999,0.06599999999999999
1.3.8.11,0.003,0.06899999999999999,0.06599999999999999
1.4.5.1,0.28500000000000003,0.22,0.06500000000000003
1.3.9.14,0.014,0.079,0.065
2.1.11.7,0.237,0.172,0.065
1.3.7.4,0.014,0.079,0.065
1.4.5.15,0.153,0.218,0.065
1.4.5.4,0.217,0.153,0.064
3.3.1.15,0.214,0.15,0.064
1.4.6.7,0.4420000000000001,0.379,0.06300000000000011
