,Literature,DAVHOP,PAPPOT-2,DUSDHD,SCHHOT-7,LOECER,TOMCIH,STOPAR,PIKHBT,FRASAT-13,WINAIR,THITEM,LESRCO,AMIAHA,FLAHOT,LEVBHW-2,NOOTSA-2,STRAMH-2,SCHIHA-3,ROTTEC,ROMFYY-2,MCIHAT-2,ASHHTO,GALTTO-3,BUCPAR,PURTMS,WINPKP,AINRHA,LOERPJ,GARITS-2,KAIPOP-2,FLAHPO-4,RICCOT-11,MELHAO,SWABSO,COTMCA-2,PENTSO-2,STRTEC,PENTIH,HATHSA,AINPAR,COVROP,GRETSA-6,HENDHO,COVROT-2,BUTTSA-3,SIRTCO,HUMHIS,GILTNT,GARHSA,ZINTUT,LYBCHS,INUHLT,ROTHAJ,NATHST,STRTEC-2,WAXHQC,SCHROH-5,MIJHAS,AINTPO,MURWIT,PENTSI,KAIPAR,ROCICH,MCIFRO,BIRHOS,PITTEC,BRIPTT,PURHPO-3,ELLTCO-4,NOOAPH,IRATIH,PERHYL,PENHTO,FALSAT-3,INUJAT,MENPIT,SWAPIA-2,WARCSA-3,GAROMI-3,ROBHOP,KAIOHA-2,1173780,MATTHB,GRETIO-4,ROCHAT-4,PATHBS,PENHOP-2,PEAHOP-2,YANHVO,RUSFS-3,SCAWWH-2,AINSAP-2,ROTWWH,PITSRA-2,CARTIJ,EPIHPO,PEAHRO,CLACAH,MCISGA,SPELTT,totalAggressiveCites
Literature,0.0,111.91592537423635,137.6190907506344,188.79228259206644,143.0832067832417,89.35383566130591,193.7474168619641,100.00000000000007,100.00000000000007,143.95520467525142,72.69733135750683,64.81267099018251,163.4839768120441,189.57188601996188,165.9818639902823,139.20905124417425,97.556677238501,76.36839273051153,100.00000000000007,162.18282567487967,100.00000000000007,71.88361870298927,144.99969173601335,96.76756914116028,167.28044182982467,150.3255656448709,116.98588652937023,100.81171162606164,110.60636032482866,185.738451431342,100.00000000000007,134.1133432942534,100.00000000000007,191.8718017611389,94.38754399631608,91.4754697697338,125.53200269477112,69.48860569155198,110.89554104525796,145.93178904603752,135.2441230679228,124.934826904063,95.59124273027375,134.1687595351,162.5119404723214,99.9313168865244,100.00000000000007,85.01026972812255,129.25336409769685,92.48266392766777,100.00000000000007,145.58424997051117,86.1959594968058,114.622608352851,143.34281331418902,173.1797392162789,74.37446541727009,167.18179735410564,108.38089618444526,130.52020993759427,100.00000000000007,178.16653714504926,74.75458079155324,102.19559723686667,100.00000000000007,103.28811187905258,86.80495752014127,141.05701359989814,180.81292638427664,104.41449338709232,100.00000000000007,173.17387839480477,77.18792678161853,129.5627827180359,159.33534945298788,116.16099719584349,146.9753213747204,88.49062198123423,120.47305181012578,98.46600824016271,81.17568822669291,123.21578647608021,75.76709060475575,100.00000000000007,100.00000000000007,115.7552135968247,104.80024017325101,100.00000000000007,179.13950962430619,110.98389610405648,156.6773826932842,122.45288318164974,135.57426864560915,94.15439632630739,41.23845384819621,109.9950624288041,100.00000000000007,100.00000000000007,189.44523138447073,120.22291672533827,93.10814338030667,5248
DAVHOP,111.91592537423635,0.0,111.58914087128919,200.00000000000003,120.80803146783798,118.75215205564356,200.00000000000003,100.00000000000004,100.00000000000004,162.52031503937994,93.6544737482947,113.71623820370979,140.6726524244839,200.0,164.69004031117532,166.66587299697613,69.40905085498683,134.6745318737204,100.00000000000004,151.04515400244014,100.00000000000004,107.44984481229862,128.21420327767945,138.3972125435541,148.74201738862814,180.0040012003601,164.35072397150077,139.18638051176853,140.7809242833491,200.00000000000017,100.00000000000004,130.18553877819068,100.00000000000004,169.22366700007692,122.6969049675045,146.87613072699875,106.61250582672972,145.49613292749856,104.53891895193743,180.65182316876417,132.85151481981652,166.9926526566702,107.35359444270584,156.22052645117037,175.0109381836365,61.5372778333462,100.00000000000004,123.64808536653146,123.08737982977524,108.779691367778,100.00000000000004,166.4447403462051,108.15639096059417,127.25612848597555,169.25444333307686,200.00000000000003,93.7988307708167,200.0,105.98382910306468,164.21585576685607,100.00000000000004,169.25444333307686,118.30209392152881,93.57073351522665,100.00000000000004,109.27243793469641,96.42783398719804,146.94581095889606,200.0,110.31166868725457,100.00000000000004,169.2544433330769,74.96383107028163,105.99568784815487,188.88580161155878,155.00712624709328,128.2142032776795,105.99232566083242,118.68676425328904,135.4675740555512,88.09989423501771,147.36648201997343,102.91251036099126,100.00000000000004,100.00000000000004,135.9175579083229,97.46864661075635,100.00000000000004,200.00000000000006,94.69306836528853,159.62617926150153,128.21420327767947,182.14324626828724,100.45133022540568,102.71013789123903,142.95028995124207,100.00000000000004,100.00000000000004,200.0,112.80879278472932,140.29114210949237,13
PAPPOT-2,137.6190907506344,111.58914087128919,0.0,200.00000000000017,59.144002928051584,131.02747744645697,200.00000000000017,100.00000000000014,100.00000000000014,175.02187773471695,127.9496052773874,135.20893551042303,171.44898542440708,200.0000000000001,179.67555415751568,173.80890021190993,104.12965457474179,155.05426805897042,100.00000000000014,181.8214870023633,100.00000000000014,133.7852843031131,66.55017473789304,144.64754757437703,183.37493759360967,190.0070021006303,175.05860721673184,163.2282647395252,184.49069171976967,190.91115655532857,100.00000000000014,164.57216889464686,100.00000000000014,200.0000000000001,134.9133641718037,174.54863515018917,133.23566624492258,167.33661615256372,90.81891514408701,172.04259438528575,171.0790350771265,183.37493759360976,115.99755855649667,165.7378033096117,200.00000000000017,106.1146137806208,100.00000000000014,119.95776135163686,61.423351289988844,127.23126034075253,100.00000000000014,166.44474034620518,112.78804851912231,138.15986590304624,200.00000000000014,190.0070021006303,105.73781506152473,200.0000000000001,106.6631094510773,191.35342059767856,100.00000000000014,200.0000000000001,130.61516568408226,83.92729845182728,100.00000000000014,143.3869339946894,117.07619244270094,177.69136762581928,179.98999499749885,73.40271825639786,100.00000000000014,200.00000000000017,128.79405458998207,66.55017473789309,200.0000000000001,160.0080014002452,66.5501747378931,100.18918835096002,114.28163109756107,139.3549375936096,106.11553378240471,165.78466072814842,139.9576985737561,100.00000000000014,100.00000000000014,164.97130417573734,100.01429796968841,100.00000000000014,200.00000000000014,66.70556365909577,166.66805654004932,113.07991619275678,180.180073098981,131.1968868923289,135.67192675403942,150.0014425434928,100.00000000000014,100.00000000000014,200.0000000000001,116.6961563227877,169.0602270619988,4
DUSDHD,188.79228259206644,200.00000000000003,200.00000000000017,0.0,200.00000000000006,196.55671097031885,118.8745767305964,100.00000000000001,100.00000000000001,174.9968746093261,186.48480588298912,185.16490878811672,199.99999999999997,152.19123505976097,181.4475365216908,150.6178718540918,200.0,159.79582869803394,100.00000000000001,200.00000000000006,100.00000000000001,188.7224161543769,187.47186796699174,192.85267577950518,200.0,200.0,183.91404274879326,199.99999999999963,175.9236085709333,200.00000000000014,100.00000000000001,199.99999999999966,100.00000000000001,152.19123505976094,200.0000000000002,186.750087609084,200.0000000000001,178.84177436255666,197.146766240059,187.09906421426277,193.096068210846,162.49648404537928,200.0,182.82888907942493,187.49921870116887,190.91322539567042,100.00000000000001,194.87022731062083,200.0,178.93295412650772,100.00000000000001,200.0,192.79957496240394,192.97660623716686,164.7031130465486,180.0040012003601,198.72151728639167,200.0,200.00000000000006,192.59570264262783,100.00000000000001,200.0,181.29863793453958,199.99999999999994,100.00000000000001,200.00000000000006,165.5860692408288,166.6703699588933,200.0,197.5498959226154,100.00000000000001,200.00000000000003,191.52592642809321,200.0,200.00000000000009,167.49431150451335,200.00000000000006,200.00000000000003,199.99999999999983,185.99999999999983,181.62890385793025,192.10010394600067,167.2364020922057,100.00000000000001,100.00000000000001,189.8521822527364,164.28367171861595,100.00000000000001,200.0,200.00000000000003,200.0,180.04589444278162,190.09895105934106,194.27165298005667,191.78370161395242,199.99999999999997,100.00000000000001,100.00000000000001,96.14043824701196,199.99999999999994,191.24307172439316,1
SCHHOT-7,143.0832067832417,120.80803146783798,59.144002928051584,200.00000000000006,0.0,131.02747744645688,200.00000000000006,100.00000000000004,100.00000000000004,180.1047670575169,131.35504804524663,144.28885699894866,171.448985424407,200.00000000000003,188.89444475406447,173.80890021190987,113.34854517129058,155.0542680589703,100.00000000000004,181.82148700236326,100.00000000000004,143.0041748996619,50.01250312578152,152.98132761547404,192.5938281901585,190.00700210063022,183.8795679154217,163.6100568900603,192.59382819015823,200.00000000000017,100.00000000000004,176.35003827807526,100.00000000000004,200.0,144.13225476835248,178.7253804228599,133.23566624492247,182.14165514490116,90.81891514408693,193.55275895450154,180.29792567367525,192.59382819015855,117.24782986865094,165.7378033096116,200.00000000000006,115.33350437716962,100.00000000000004,145.87566001364542,38.46657172549175,136.45015093730134,100.00000000000004,166.4447403462051,115.18879053390849,147.37875649959503,200.00000000000003,200.00000000000006,110.87843456721492,200.00000000000006,114.82420236477333,193.82563595949622,100.00000000000004,200.00000000000003,134.04696907245167,83.9272984518272,100.00000000000004,152.6058245912382,123.43559293652785,181.3950724963465,200.0,74.19661991294535,100.00000000000004,200.00000000000006,131.8499740120165,33.32777314428695,200.00000000000003,162.598579021554,14.277547520365893,101.6407531040933,114.28163109756098,148.5738281901584,114.34928848817853,166.291542693915,143.98434466770726,100.00000000000004,100.00000000000004,173.12386142783933,100.01429796968834,100.00000000000004,200.00000000000006,66.70556365909569,174.99895759496314,119.72463334331043,184.1242484572947,131.19688689232882,145.0551570132811,150.00144254349271,100.00000000000004,100.00000000000004,200.00000000000006,125.91504691933649,171.12068077390606,18
LOECER,89.35383566130591,118.75215205564356,131.02747744645697,196.55671097031885,131.02747744645688,0.0,200.00000000000003,99.99999999999999,99.99999999999999,154.1385815916887,89.1629433629336,97.39272343421182,162.87519574050089,196.35355691756763,168.3674467970341,145.81717334037415,107.43139733866238,106.43721337388736,99.99999999999999,160.74588475633973,99.99999999999999,106.80409442220768,137.50086082225738,103.72753273904006,179.8498725983059,166.59344714784174,121.56030786596774,132.33230325444015,138.57444145808907,185.47642281185796,99.99999999999999,154.09606127924593,99.99999999999999,199.99999999999997,110.47755387595556,127.59060240846551,127.26396253701542,115.10805495246684,124.44208299421653,159.08403178545774,115.66089639065214,151.67241582331306,104.57919301274038,152.77152133929192,187.18063494249708,111.69470868641038,99.99999999999999,106.61587120362168,124.36701961176615,103.52023575824774,99.99999999999999,150.9947024700257,98.09937611264073,134.28230711752178,168.42828775430863,182.81798774189107,84.72152923971333,132.82831760898006,106.12479244669943,166.24110108780548,99.99999999999999,189.7631017147579,94.93298158352067,106.00436706821014,99.99999999999999,127.53489427312705,84.6574013207376,163.53783269541736,182.48054541698227,103.08972518084474,99.99999999999999,182.87996694442535,92.21554485468276,127.26396253701535,156.8769867916428,115.49861276339708,128.92707113835135,78.91555865851801,118.44598277347676,87.4821119757592,81.2714426624762,113.30527012980514,110.57349373839553,99.99999999999999,99.99999999999999,148.7531659394692,110.38352607645024,99.99999999999999,184.54996212382065,109.03834641536824,160.86611452503644,122.05082294607807,172.71497456396128,107.0469785393447,89.95588831729013,132.82720739720222,99.99999999999999,99.99999999999999,196.55671097031885,110.6670253410429,135.96891029482202,58
TOMCIH,193.7474168619641,200.00000000000003,200.00000000000017,118.8745767305964,200.00000000000006,200.00000000000003,0.0,100.00000000000001,100.00000000000001,199.99999999999994,197.29912404022932,194.2564269443542,199.99999999999997,119.95197118270964,196.889407321002,178.81854329864996,200.0,167.74205610971393,100.00000000000001,181.82148700236326,100.00000000000001,191.48002842049982,187.47186796699174,200.00000000000014,200.0,200.0,195.3987589059985,199.74698694785926,199.99999999999966,200.00000000000014,100.00000000000001,199.99999999999966,100.00000000000001,99.99997499999374,200.0000000000002,190.08863475131844,200.0000000000001,185.89331869667174,197.146766240059,200.00000000000014,199.9999999999999,181.23574085070476,200.0,190.4541427305724,200.00000000000003,190.9132253956704,100.00000000000001,194.56455288167624,200.0,200.00000000000014,100.00000000000001,200.0,190.99856819962355,192.97660623716686,164.7031130465486,180.0040012003601,198.72151728639167,200.0,200.00000000000006,195.06544825882935,100.00000000000001,200.0,190.24517178288275,199.99999999999994,100.00000000000001,200.00000000000006,193.1172138481659,199.9999999999998,200.0,198.77433574139832,100.00000000000001,200.00000000000003,199.99999999999994,200.0,200.00000000000009,169.99474908108922,200.00000000000006,200.00000000000003,199.99999999999983,191.99999999999983,200.0000000000001,197.8026604913093,193.35467459342038,100.00000000000001,100.00000000000001,197.97124835715778,171.4183585930798,100.00000000000001,200.0,200.00000000000003,200.0,180.04589444278162,192.4087996117237,188.5490285845089,195.54913413540217,199.99999999999997,100.00000000000001,100.00000000000001,124.95000000000002,199.99999999999994,192.78738178146776,2
STOPAR,100.00000000000007,100.00000000000004,100.00000000000014,100.00000000000001,100.00000000000004,99.99999999999999,100.00000000000001,0,0,99.99999999999999,100.00000000000004,100.00000000000014,99.99999999999999,99.99999999999997,99.99999999999996,100.00000000000001,99.99999999999999,99.99999999999984,0,100.0,0,100.00000000000004,99.99999999999997,100.00000000000011,99.99999999999997,99.99999999999997,99.99999999999989,99.99999999999969,99.99999999999974,100.0000000000001,0,99.99999999999966,0,99.99999999999997,100.00000000000016,100.00000000000001,100.00000000000007,99.9999999999999,99.99999999999969,100.00000000000006,99.9999999999999,100.00000000000006,100.00000000000006,99.99999999999994,100.00000000000003,100.00000000000006,0,100.0,100.00000000000001,100.00000000000009,0,99.99999999999999,99.99999999999993,100.00000000000009,100.0,100.0,99.99999999999996,100.0,100.00000000000004,100.00000000000004,0,100.0,100.0,99.99999999999993,0,100.00000000000003,100.00000000000011,99.99999999999976,99.99999999999997,99.99999999999997,0,100.0,99.99999999999991,100.0,99.99999999999999,100.00000000000004,100.00000000000003,100.00000000000001,99.99999999999979,99.9999999999998,100.00000000000006,99.99999999999997,99.99999999999999,0,0,100.00000000000004,100.00000000000001,0,100.0,100.00000000000001,100.0,100.0,100.0000000000001,99.99999999999997,99.99999999999999,99.99999999999994,0,0,100.0,99.99999999999993,99.99999999999943,0
PIKHBT,100.00000000000007,100.00000000000004,100.00000000000014,100.00000000000001,100.00000000000004,99.99999999999999,100.00000000000001,0,0,99.99999999999999,100.00000000000004,100.00000000000014,99.99999999999999,99.99999999999997,99.99999999999996,100.00000000000001,99.99999999999999,99.99999999999984,0,100.0,0,100.00000000000004,99.99999999999997,100.00000000000011,99.99999999999997,99.99999999999997,99.99999999999989,99.99999999999969,99.99999999999974,100.0000000000001,0,99.99999999999966,0,99.99999999999997,100.00000000000016,100.00000000000001,100.00000000000007,99.9999999999999,99.99999999999969,100.00000000000006,99.9999999999999,100.00000000000006,100.00000000000006,99.99999999999994,100.00000000000003,100.00000000000006,0,100.0,100.00000000000001,100.00000000000009,0,99.99999999999999,99.99999999999993,100.00000000000009,100.0,100.0,99.99999999999996,100.0,100.00000000000004,100.00000000000004,0,100.0,100.0,99.99999999999993,0,100.00000000000003,100.00000000000011,99.99999999999976,99.99999999999997,99.99999999999997,0,100.0,99.99999999999991,100.0,99.99999999999999,100.00000000000004,100.00000000000003,100.00000000000001,99.99999999999979,99.9999999999998,100.00000000000006,99.99999999999997,99.99999999999999,0,0,100.00000000000004,100.00000000000001,0,100.0,100.00000000000001,100.0,100.0,100.0000000000001,99.99999999999997,99.99999999999999,99.99999999999994,0,0,100.0,99.99999999999993,99.99999999999943,0
FRASAT-13,143.95520467525142,162.52031503937994,175.02187773471695,174.9968746093261,180.1047670575169,154.1385815916887,199.99999999999994,99.99999999999999,99.99999999999999,0.0,140.13860727400055,143.85202767887776,187.51093886735836,187.51093886735836,158.46764562173055,113.55878727918206,162.5203150393799,157.2360025778025,99.99999999999999,153.43105854056148,99.99999999999999,158.64647734514745,187.51093886735836,163.40658793373927,175.00937617202146,180.01400420126035,140.5138579003597,169.62276457621127,124.47550832481969,198.18223131106578,99.99999999999999,155.3992236486127,99.99999999999999,199.99999999999991,161.39191818374667,155.7114454558493,175.00937617202163,124.32847202552176,175.0093761720212,106.6188170262167,139.89467279150165,151.26310695390666,167.66658089070467,174.17531910114613,137.49296791982118,162.52031503937997,99.99999999999999,165.12445523483467,182.38411541945416,143.44237597035183,99.99999999999999,187.5109388673584,169.31099077458424,168.00550385570457,187.49843730466304,138.33837487163134,154.78017071255474,187.49843730466307,155.02587960225503,170.622665509158,99.99999999999999,187.49843730466304,139.7919529532572,159.12767943978187,99.99999999999999,142.5263132399198,125.08748361939499,115.51897409018129,162.52031503937988,169.60840427693353,99.99999999999999,162.4828103512939,137.99462280993276,175.0093761720215,133.37038066129477,157.5106888236008,187.51093886735845,172.19288533635947,177.983499842968,159.02587773471666,130.12700122930758,161.906012616388,139.3147454947574,99.99999999999999,99.99999999999999,137.154230460157,160.72570445340557,99.99999999999999,200.0,172.23379792655368,172.2449107164122,187.51093886735845,170.85863446656214,173.1037422483041,146.00212469296557,176.29949084220044,99.99999999999999,99.99999999999999,174.99687460932608,162.9072735794075,146.09811991339294,16
