,Literature,RICCOT-11,FLAHPO-4,GARITS-2,KAIPOP-2,LOERPJ,AINRHA,WINPKP,PURTMS,BUCPAR,GALTTO-3,ASHHTO,MCIHAT-2,ROMFYY-2,ROTTEC,SCHIHA-3,STRAMH-2,NOOTSA-2,LEVBHW-2,FLAHOT,AMIAHA,LESRCO,THITEM,WINAIR,FRASAT-13,PIKHBT,STOPAR,TOMCIH,LOECER,SCHHOT-7,DUSDHD,PAPPOT-2,DAVHOP,MURWIT,MIJHAS,AINTPO,SCHROH-5,WAXHQC,STRTEC-2,NATHST,ROTHAJ,INUHLT,LYBCHS,ZINTUT,GARHSA,GILTNT,HUMHIS,SIRTCO,BUTTSA-3,COVROT-2,HENDHO,GRETSA-6,COVROP,AINPAR,HATHSA,PENTIH,STRTEC,PENTSO-2,COTMCA-2,SWABSO,MELHAO,MATTHB,1173780,KAIOHA-2,ROBHOP,GAROMI-3,WARCSA-3,SWAPIA-2,MENPIT,INUJAT,FALSAT-3,PENHTO,PERHYL,IRATIH,NOOAPH,ELLTCO-4,PURHPO-3,BRIPTT,PITTEC,BIRHOS,MCIFRO,ROCICH,KAIPAR,PENTSI,SPELTT,MCISGA,CLACAH,PEAHRO,EPIHPO,CARTIJ,PITSRA-2,ROTWWH,AINSAP-2,SCAWWH-2,RUSFS-3,YANHVO,PEAHOP-2,PENHOP-2,PATHBS,ROCHAT-4,GRETIO-4,totalAggressiveCites
Literature,0.0,99.99999999999993,162.64715843783998,195.65507619448508,99.99999999999993,149.52978873005472,136.60547873664245,154.92109646987703,162.78149586682,196.5596977947329,143.16871159154786,161.1149337536888,111.32502600326212,99.99999999999993,192.13473952454316,99.99999999999993,120.6576743892939,152.47215582024316,162.26540132264398,185.71498349243214,194.7623284663147,186.50808450847913,93.81891292573613,128.44822667639187,181.11001882434252,99.99999999999993,99.99999999999993,196.2131481821181,116.97336270339196,179.56845325309862,194.47354980822965,157.64254956344578,174.65232769755747,99.99999999999993,152.39726759430997,169.0606724667347,195.7848895844073,112.78752990081549,189.94956648949776,169.73471790800662,149.55615623354635,118.81702930874613,154.28281350999544,99.99999999999993,146.27215789146584,153.40322937188984,141.07949661956687,99.99999999999993,159.75531180356808,191.98281485360528,161.16296989056585,121.16398548025784,172.91021029958176,164.72086882645632,180.41336723875443,117.93174959108765,98.60079236186914,144.61817612286094,117.83149661532643,136.0283092259797,196.7158848812882,99.99999999999993,130.63615331781526,160.6370671382285,128.32596492066827,136.00712371128506,143.11975149539708,121.3109372849188,163.19723795468,165.29238700944762,191.3099240452763,177.06972626919148,141.37996931974965,195.6761979861611,99.99999999999993,118.08612474691026,196.13406514950063,178.72470350002854,142.28834082975857,155.17795507703607,99.99999999999993,111.7543582746609,117.32517753678468,197.21097206671615,127.18252590848344,155.03715142469585,192.0780341739176,99.99999999999993,99.99999999999993,142.20432710913,92.02931191019853,114.50711747416595,149.08453547897977,137.49669251632008,176.3512481652909,138.1065272613316,187.97450771002474,99.99999999999993,166.19896023573895,138.4206229581267,99.99999999999993,5248
RICCOT-11,99.99999999999993,0,99.99999999999955,100.00000000000001,0,99.99999999999974,99.99999999999979,99.99999999999977,99.99999999999997,100.00000000000001,100.0000000000002,99.99999999999996,100.00000000000027,0,100.00000000000001,0,99.99999999999987,100.00000000000001,99.99999999999991,100.00000000000001,100.00000000000001,100.0,99.99999999999972,100.00000000000011,99.99999999999993,0,0,100.00000000000001,99.99999999999982,100.00000000000003,99.99999999999997,100.00000000000014,100.00000000000003,0,100.00000000000003,100.0,100.0,100.0,100.0,100.0,100.00000000000014,99.99999999999991,100.00000000000001,0,99.99999999999999,100.0,100.0,0,100.0,100.0,99.99999999999993,100.00000000000024,100.00000000000001,100.00000000000036,100.0000000000001,99.9999999999995,99.99999999999982,99.99999999999994,99.99999999999994,100.00000000000021,99.99999999999999,0,100.00000000000027,100.00000000000014,100.00000000000006,100.00000000000004,99.99999999999979,100.00000000000004,100.00000000000003,100.00000000000009,99.99999999999996,100.0,99.99999999999973,100.0,0,99.99999999999996,99.99999999999999,99.99999999999991,100.00000000000004,100.00000000000003,0,99.99999999999999,100.00000000000023,100.0,99.99999999999929,100.00000000000003,100.0,0,0,99.99999999999987,99.99999999999991,99.99999999999996,99.99999999999989,100.0,100.0,100.00000000000004,100.0,0,100.00000000000007,100.0000000000002,0,0
FLAHPO-4,162.64715843783998,99.99999999999955,0.0,193.6472163623905,99.99999999999955,159.76434751504283,179.28778993025574,169.12433639007895,196.41631432954955,199.46999587774522,167.9216200628217,186.8230499118208,168.19098533001184,99.99999999999955,199.50532948589625,99.99999999999955,181.7263759679175,181.3391881936854,190.7821885978234,191.10611232593138,200.00000000000026,198.51598845768828,169.22522399423315,177.25489503287497,190.3904976226382,99.99999999999955,99.99999999999955,200.0000000000003,174.9489475270039,185.25410753194683,200.00000000000026,174.74785407425574,181.21844510040003,99.99999999999955,190.7159823201237,178.29423319707203,200.00000000000023,184.6022360477088,196.6690007002103,196.8081973970904,180.689584237872,179.6487591254046,187.22444235669934,99.99999999999955,183.5161643317284,179.81273187680299,186.90018014811812,99.99999999999955,180.70583751337475,196.61975148695538,194.20528826335268,180.90696153987358,199.99999999999974,172.2238077585006,177.36039818547846,168.63596035711427,170.74500539896337,178.61683774857872,177.08873475218763,173.0956178026299,200.00000000000028,99.99999999999955,164.44883150563405,183.1682155757131,175.03426923639574,193.0279653730637,179.56539661975097,172.4748108594553,179.9286640188702,195.3666854893764,185.07585820014705,183.911430422236,167.81034730114445,191.62593486838213,99.99999999999955,178.79172918987823,173.5233496260527,185.06765971164137,170.9901272328068,187.27457788810162,99.99999999999955,158.62233614813076,178.36945141047573,198.9399917554908,182.29139174460502,183.12643960134415,200.00000000000028,99.99999999999955,99.99999999999955,186.26887207602127,160.63488439621656,158.17818269113198,187.0336670785382,186.1083608753981,181.8553963995695,185.14032776713404,199.99999999999957,99.99999999999955,183.2165361286139,151.13949251689678,99.99999999999955,17
GARITS-2,195.65507619448508,100.00000000000001,193.6472163623905,0.0,100.00000000000001,193.55408122346947,185.6274084470787,194.25419443805998,200.0000000000001,197.57327880027267,183.63620119717697,199.99999999999997,200.00000000000028,100.00000000000001,197.27322305035452,100.00000000000001,199.9999999999998,199.99999999999997,199.99999999999997,200.00000000000003,200.00000000000003,190.9111565553283,199.40181083823018,200.00000000000006,199.0911156555328,100.00000000000001,100.00000000000001,200.0,194.95902486054658,200.00000000000003,199.99999999999997,193.18336741649637,200.00000000000006,100.00000000000001,200.0,173.25916632813608,200.00000000000006,198.18223131106575,197.7277891388321,200.00000000000017,200.00000000000017,200.00000000000003,200.0,100.00000000000001,195.72824358100425,199.99999999999997,194.9489306938814,100.00000000000001,199.99999999999997,200.0,198.0965446283116,195.57640955214777,193.74941400756325,200.00000000000034,190.91115655532843,199.62374939429313,193.63679517203298,188.88434446716647,199.24043636446518,200.0000000000001,199.99999999999997,100.00000000000001,200.00000000000045,200.00000000000014,200.00000000000006,200.00000000000017,199.9999999999998,196.22736796270644,200.00000000000003,200.0000000000001,197.08808002222833,200.0,198.11536603760769,197.57327880027267,100.00000000000001,200.0,193.18336741649622,199.09111565553275,200.00000000000009,200.00000000000006,100.00000000000001,199.63758060566465,200.0000000000003,200.0,193.16417528036777,198.18223131106572,200.0,100.00000000000001,100.00000000000001,199.35951068924717,199.34264134922867,199.99999999999997,189.31270600962657,200.00000000000014,200.00000000000006,200.00000000000006,200.00000000000003,100.00000000000001,200.00000000000006,199.12517062724888,100.00000000000001,22
KAIPOP-2,99.99999999999993,0,99.99999999999955,100.00000000000001,0,99.99999999999974,99.99999999999979,99.99999999999977,99.99999999999997,100.00000000000001,100.0000000000002,99.99999999999996,100.00000000000027,0,100.00000000000001,0,99.99999999999987,100.00000000000001,99.99999999999991,100.00000000000001,100.00000000000001,100.0,99.99999999999972,100.00000000000011,99.99999999999993,0,0,100.00000000000001,99.99999999999982,100.00000000000003,99.99999999999997,100.00000000000014,100.00000000000003,0,100.00000000000003,100.0,100.0,100.0,100.0,100.0,100.00000000000014,99.99999999999991,100.00000000000001,0,99.99999999999999,100.0,100.0,0,100.0,100.0,99.99999999999993,100.00000000000024,100.00000000000001,100.00000000000036,100.0000000000001,99.9999999999995,99.99999999999982,99.99999999999994,99.99999999999994,100.00000000000021,99.99999999999999,0,100.00000000000027,100.00000000000014,100.00000000000006,100.00000000000004,99.99999999999979,100.00000000000004,100.00000000000003,100.00000000000009,99.99999999999996,100.0,99.99999999999973,100.0,0,99.99999999999996,99.99999999999999,99.99999999999991,100.00000000000004,100.00000000000003,0,99.99999999999999,100.00000000000023,100.0,99.99999999999929,100.00000000000003,100.0,0,0,99.99999999999987,99.99999999999991,99.99999999999996,99.99999999999989,100.0,100.0,100.00000000000004,100.0,0,100.00000000000007,100.0000000000002,0,0
LOERPJ,149.52978873005472,99.99999999999974,159.76434751504283,193.55408122346947,99.99999999999974,0.0,178.79998727193683,141.94113419934112,198.21342625570327,191.91421365727805,174.0192009845567,198.56766070500345,171.80509925202273,99.99999999999974,192.26844810657735,99.99999999999974,177.66155257079552,188.49123077219235,179.48112151685268,175.80792110525212,195.8762489652111,193.54677242361723,167.3713016882461,175.37418117526613,187.8366671158764,99.99999999999974,99.99999999999974,199.99999999999923,166.42804432175257,199.9999999999998,191.95656777621522,198.91419440540602,190.3240090098762,99.99999999999974,185.47419774724216,174.48559869854085,199.81518202645137,182.54066469074053,183.32402826174743,196.59626898715902,193.19209395244204,185.92613956568326,199.9999999999997,99.99999999999974,185.24753881817307,199.49560094719192,188.6241943045191,99.99999999999974,195.71453323835735,194.25139094776966,191.38843621715367,188.19100173895362,182.51159925302738,166.6761874238163,175.76721130579725,185.56280144805103,143.48513421501605,197.11991991221157,170.9531958791713,187.09869655830286,199.99999999999918,99.99999999999974,171.19424102353912,181.51555929660304,183.50033870759228,173.3570250466858,198.4919963165824,185.71227618427474,199.97304737885747,189.26515603642446,180.794468975083,198.57921182835005,169.4773405250781,197.70517682844607,99.99999999999974,187.89395787780353,192.84600427391464,181.5682575130429,184.65871462445492,195.54511676260526,99.99999999999974,184.79849097588735,171.54893538848944,199.30693259919516,170.48360774876775,187.88249377858926,184.85647729241575,99.99999999999974,99.99999999999974,192.85897775075588,161.82654825278163,181.01635108183746,183.79286892975085,199.89218951543035,183.02369905473316,195.29869279787434,199.99999999999977,99.99999999999974,191.5445777101824,157.9290153216102,99.99999999999974,52
AINRHA,136.60547873664245,99.99999999999979,179.28778993025574,185.6274084470787,99.99999999999979,178.79998727193683,0.0,181.2146738899872,180.67088050571724,197.2895787408418,162.40276495365418,177.69498620820107,163.39048591453903,99.99999999999979,187.30995613935258,99.99999999999979,162.97792201846735,169.21199054895638,187.73906491336118,194.78556834749494,199.4954889439342,183.5253656947618,149.3413126901297,161.353888829062,189.38287422054682,99.99999999999979,99.99999999999979,199.99999999999832,166.17393823792463,177.65152375974233,199.99999999999827,168.3581060546371,171.52618382079893,99.99999999999979,169.8006407085641,176.62013981283187,196.96990356717967,162.1639380015866,194.12918816141158,190.8127476156915,166.6518592180488,161.02115859939988,180.6546100703156,99.99999999999979,157.27776050297922,167.50859177787524,176.84996995734622,99.99999999999979,166.3823069720208,193.06410926527607,173.80283663024312,144.2681819409787,190.91880099084008,185.3185887715429,188.3137222221561,151.71763197768414,163.94100560394998,154.55468058990314,168.14589706588743,166.8668988142887,197.97892567930805,99.99999999999979,151.1087100394988,169.36304208865394,168.7491626007023,164.2054726268661,144.6736168262221,148.06682649271772,176.19404737555632,176.88137239347537,193.22924952086433,178.2348173230599,172.14548505530897,197.28957874084202,99.99999999999979,155.86904515731607,194.74581278549024,187.3798686881722,170.43187635044148,169.06287460472953,99.99999999999979,157.4792446108087,156.46338645052654,199.86364566052183,153.13851869213147,168.8395289685623,199.99999999999832,99.99999999999979,99.99999999999979,154.47561299071538,150.65538772854165,151.66951127059062,143.88349149829145,172.23676229398416,175.8856504449503,162.19392651581293,197.57440780552827,99.99999999999979,186.7206023831694,175.90823728549626,99.99999999999979,132
WINPKP,154.92109646987703,99.99999999999977,169.12433639007895,194.25419443805998,99.99999999999977,141.94113419934112,181.2146738899872,0.0,193.30037071337415,194.8333716387033,151.09799680058248,186.0410097927835,172.28403645514422,99.99999999999977,192.3373937025966,99.99999999999977,169.24322004558567,184.14643348091712,184.14856223743985,185.29870395078157,183.69340381521448,191.08940473454328,164.72474776803378,167.2614298904719,191.62261549069126,99.99999999999977,99.99999999999977,199.04159963226786,159.83040373090094,196.54332337393683,193.38772695931917,191.16446451903366,191.17674097908503,99.99999999999977,185.44929792793943,181.60359657627723,199.779361066421,175.85859947638946,175.6377844173749,189.05309124339203,173.550364486009,180.4916285689337,190.6581066660217,99.99999999999977,178.17519667165834,193.23679306654512,176.98661075619637,99.99999999999977,194.62192599402414,191.6267135116993,189.2761198041167,185.28753936383146,155.679154217421,164.23384854631718,167.1354828690445,182.0758120351467,147.27984714763795,189.62077683291207,169.98956864978396,185.0640129692102,199.9999999999994,99.99999999999977,173.00850063907558,171.70678493080408,173.93585218002102,174.98832820041355,189.0599862100663,178.12265943916327,191.5490691794987,182.84302459204747,183.27970581475483,193.8588830153985,175.96290203672717,197.70167777522366,99.99999999999977,178.51866589697576,194.4426568604914,175.10676116555967,183.19773738410686,185.93029078176065,99.99999999999977,176.88174242603438,165.52016489235425,199.9999999999997,172.03102777150207,169.84896755576165,186.21696161801833,99.99999999999977,99.99999999999977,186.94057140543515,160.38018266495766,182.65423033368523,185.69711288326636,182.33969202482155,179.1266375545848,189.1496207768327,197.70167777522389,99.99999999999977,187.16157205240145,168.53634436158632,99.99999999999977,87
PURTMS,162.78149586682,99.99999999999997,196.41631432954955,200.0000000000001,99.99999999999997,198.21342625570327,180.67088050571724,193.30037071337415,0.0,200.00000000000003,186.03128441436036,195.55866760028007,169.5157108087192,99.99999999999997,195.55866760028005,99.99999999999997,172.57598074231956,185.37070555128804,195.24750589299737,196.42341127600739,200.00000000000003,184.44533360008003,172.61644678966724,166.05180050825027,192.4332769264458,99.99999999999997,99.99999999999997,200.00000000000003,175.3881356886922,190.00700210063022,199.99999999999997,190.00700210063033,180.00400120036025,99.99999999999997,182.2331892657906,197.37713015559405,187.516254876463,150.29250871128332,197.49924977493248,152.81982464450402,177.68836187789705,151.72366260211695,157.35177277550778,99.99999999999997,158.40643329039173,174.61883382381262,147.664299289787,99.99999999999997,153.62352020141253,177.08460985073452,126.77873755678951,155.29128808071,184.0552165649695,191.50864559309147,194.5915062030711,173.59032781806712,179.92884793235956,162.56510568406594,154.63982944438158,152.34030828254998,200.0,99.99999999999997,176.42393498339362,187.36948027474799,159.85331790596584,163.46951965589682,163.90639895855938,163.97478698374894,195.5586676002801,181.9606289958401,199.99999999999997,192.22766830049014,174.36839922636997,196.67900370111036,99.99999999999997,173.77408067528614,200.0,197.20031107654694,184.30062710051237,170.57597135183752,99.99999999999997,176.8812184209773,152.06003183349782,189.99699909972998,177.00815138119083,172.62331101050594,200.0,99.99999999999997,99.99999999999997,166.1151713853211,172.31265771791206,146.69740731656108,165.14931212493025,153.60608182454735,191.1173352005602,173.34519755801728,183.01490447134137,99.99999999999997,185.70203031169586,186.59313804432276,99.99999999999997,20
BUCPAR,196.5596977947329,100.00000000000001,199.46999587774522,197.57327880027267,100.00000000000001,191.91421365727805,197.2895787408418,194.8333716387033,200.00000000000003,0.0,200.00000000000006,200.00000000000003,185.08541595872848,100.00000000000001,199.99999999999997,100.00000000000001,199.21472576166903,196.22641509433961,200.00000000000003,167.21474162076757,200.00000000000003,199.99999999999994,195.76099232403692,195.94463069103477,199.99999999999986,100.00000000000001,100.00000000000001,199.99999999999994,196.3811032298045,200.00000000000006,199.9999999999999,200.00000000000014,196.15295837500966,100.00000000000001,193.32355099046205,199.99999999999997,200.0,197.696427543048,199.99999999999994,160.03200640128034,180.11617907723618,198.11794793289457,199.99999999999994,100.00000000000001,175.435824511508,199.99999999999997,191.2076918801757,100.00000000000001,195.45206476259787,200.00000000000003,200.0,199.63378347447946,190.6241210113448,195.66433083641076,200.0000000000001,199.10212923638278,194.82979891222982,200.00000000000034,198.97889119664035,197.81847929827785,199.99999999999991,100.00000000000001,194.02635264526825,199.36842936277125,198.97938354766282,199.0400000000001,199.99999999999991,199.72707254287775,200.0,194.9991248468483,200.0,200.0,199.3813926292508,174.9949989998,100.00000000000001,198.6592383984327,199.99999999999991,194.99899979995993,200.0000000000004,190.0029991002699,100.00000000000001,195.81748428699694,199.18682659077015,200.00000000000003,199.26132734428205,188.01259918832147,199.99999999999991,100.00000000000001,100.00000000000001,200.0,197.946438964934,199.2274457066011,199.84746283144653,199.99999999999997,200.00000000000003,200.0,200.00000000000003,100.00000000000001,200.0,196.69655497876343,100.00000000000001,5
