Location,Score,Author,Title,Year
App.,0.999,"Pears, David",Hume on Personal Identity,1993
1.4.1,0.333,"Penelhum, Terence",Hume's Theory of the Self Revisited,1975
1.4.2,0.666,"Penelhum, Terence",Hume's Theory of the Self Revisited,1975
1.4.6,4.996,"Penelhum, Terence",Hume's Theory of the Self Revisited,1975
1.2.5,0.999,"Mendus, Susan",Personal Identity: The Two Analogies in Hume,1980
1.4.6,12.995,"Mendus, Susan",Personal Identity: The Two Analogies in Hume,1980
1.1.1,0.334,"Melchert, Norman",Hume's Appendix on Personal Identity,1975
1.1.2,0.417,"Melchert, Norman",Hume's Appendix on Personal Identity,1975
1.1.3,0.75,"Melchert, Norman",Hume's Appendix on Personal Identity,1975
1.1.4,0.5,"Melchert, Norman",Hume's Appendix on Personal Identity,1975
1.1.1,1.0,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.1.2,0.167,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.1.3,0.167,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.2.4,1.999,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.2.5,1.127,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.3.2,1.0,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.3.6,0.252,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.3.8,6.039,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.3.9,2.623,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.3.10,1.626,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.3.11,1.25,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.3.13,2.667,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.3.14,0.749,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.3.15,2.877,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.3.16,1.125,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.4.2,4.974,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.4.3,3.25,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.4.5,1.167,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.4.6,22.852,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.4.7,11.582,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
2.1.2,3.001,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
2.1.5,3.332,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
2.1.6,2.501,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
2.1.7,2.167,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
2.1.8,1.666,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
2.1.9,0.333,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
2.1.11,2.001,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
2.2.1,1.5,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
2.2.2,0.5,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
2.2.6,2.0,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
2.3.2,2.0,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
2.3.3,4.0,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
2.3.10,2.001,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
3.1.1,2.0,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
3.1.2,3.333,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
3.2.1,1.36,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
3.2.2,1.0,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
3.2.10,0.399,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
3.2.11,0.095,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
3.2.12,0.171,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
3.3.1,4.328,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
3.3.2,11.995,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
3.3.3,1.666,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
3.3.4,0.444,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
3.3.5,1.222,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
3.3.6,2.0,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
App.,6.501,"Ainslie, Donald C.","Review: Hume, a Scottish Socrates?",2003
1.1.7,1.999,"Hatfield, Gary","Hume, Space, and the Self",2009
1.2.1,1.0,"Hatfield, Gary","Hume, Space, and the Self",2009
1.2.4,3.001,"Hatfield, Gary","Hume, Space, and the Self",2009
1.2.5,3.999,"Hatfield, Gary","Hume, Space, and the Self",2009
1.3.1,1.332,"Hatfield, Gary","Hume, Space, and the Self",2009
1.3.2,3.663,"Hatfield, Gary","Hume, Space, and the Self",2009
1.3.5,0.666,"Hatfield, Gary","Hume, Space, and the Self",2009
1.3.6,3.333,"Hatfield, Gary","Hume, Space, and the Self",2009
1.3.8,0.999,"Hatfield, Gary","Hume, Space, and the Self",2009
1.3.11,1.523,"Hatfield, Gary","Hume, Space, and the Self",2009
1.3.12,4.479,"Hatfield, Gary","Hume, Space, and the Self",2009
1.3.13,0.999,"Hatfield, Gary","Hume, Space, and the Self",2009
1.3.14,0.999,"Hatfield, Gary","Hume, Space, and the Self",2009
1.4.2,1.999,"Hatfield, Gary","Hume, Space, and the Self",2009
1.4.6,0.999,"Hatfield, Gary","Hume, Space, and the Self",2009
1.1.1,3.499,"Lesser, Harry",Reid's Criticism of Hume's Theory of Personal Identity,1978
1.2.5,2.0,"Lesser, Harry",Reid's Criticism of Hume's Theory of Personal Identity,1978
1.3.9,0.5,"Lesser, Harry",Reid's Criticism of Hume's Theory of Personal Identity,1978
1.4.6,0.999,"Lesser, Harry",Reid's Criticism of Hume's Theory of Personal Identity,1978
1.2.4,1.0,"Swain, Corliss Gayda",Being Sure of One's Self: Hume on Personal Identity,1991
1.3.14,1.5,"Swain, Corliss Gayda",Being Sure of One's Self: Hume on Personal Identity,1991
1.4.2,1.999,"Swain, Corliss Gayda",Being Sure of One's Self: Hume on Personal Identity,1991
1.4.3,15.0,"Swain, Corliss Gayda",Being Sure of One's Self: Hume on Personal Identity,1991
1.4.5,4.014,"Swain, Corliss Gayda",Being Sure of One's Self: Hume on Personal Identity,1991
1.4.6,10.663,"Swain, Corliss Gayda",Being Sure of One's Self: Hume on Personal Identity,1991
1.4.7,0.333,"Swain, Corliss Gayda",Being Sure of One's Self: Hume on Personal Identity,1991
2.2.2,0.858,"Swain, Corliss Gayda",Being Sure of One's Self: Hume on Personal Identity,1991
2.2.3,0.143,"Swain, Corliss Gayda",Being Sure of One's Self: Hume on Personal Identity,1991
App.,8.496,"Swain, Corliss Gayda",Being Sure of One's Self: Hume on Personal Identity,1991
1.1.1,4.366,"Rocknak, Stefanie",Hume and the External World,2019
1.1.4,0.334,"Rocknak, Stefanie",Hume and the External World,2019
1.1.5,1.665,"Rocknak, Stefanie",Hume and the External World,2019
1.1.6,0.25,"Rocknak, Stefanie",Hume and the External World,2019
1.1.7,7.75,"Rocknak, Stefanie",Hume and the External World,2019
1.2.2,0.108,"Rocknak, Stefanie",Hume and the External World,2019
1.2.3,0.306,"Rocknak, Stefanie",Hume and the External World,2019
1.2.4,0.596,"Rocknak, Stefanie",Hume and the External World,2019
1.2.5,1.5,"Rocknak, Stefanie",Hume and the External World,2019
1.2.6,2.0,"Rocknak, Stefanie",Hume and the External World,2019
1.3.1,1.445,"Rocknak, Stefanie",Hume and the External World,2019
1.3.2,24.221,"Rocknak, Stefanie",Hume and the External World,2019
1.3.6,8.033,"Rocknak, Stefanie",Hume and the External World,2019
1.3.7,2.335,"Rocknak, Stefanie",Hume and the External World,2019
1.3.8,2.14,"Rocknak, Stefanie",Hume and the External World,2019
1.3.12,1.999,"Rocknak, Stefanie",Hume and the External World,2019
1.3.13,0.019,"Rocknak, Stefanie",Hume and the External World,2019
1.3.14,4.007,"Rocknak, Stefanie",Hume and the External World,2019
1.3.16,0.999,"Rocknak, Stefanie",Hume and the External World,2019
1.4.1,0.167,"Rocknak, Stefanie",Hume and the External World,2019
1.4.2,89.941,"Rocknak, Stefanie",Hume and the External World,2019
1.4.3,10.197,"Rocknak, Stefanie",Hume and the External World,2019
1.4.4,2.21,"Rocknak, Stefanie",Hume and the External World,2019
1.4.5,2.051,"Rocknak, Stefanie",Hume and the External World,2019
1.4.6,24.431,"Rocknak, Stefanie",Hume and the External World,2019
2.1.4,1.999,"Rocknak, Stefanie",Hume and the External World,2019
2.1.11,1.332,"Rocknak, Stefanie",Hume and the External World,2019
2.1.12,0.666,"Rocknak, Stefanie",Hume and the External World,2019
1.1.4,0.24,"Dussinger, J. A.",David Hume's Denial of Personal Identity: The Making of a Skeptic,1980
1.1.5,0.312,"Dussinger, J. A.",David Hume's Denial of Personal Identity: The Making of a Skeptic,1980
1.1.6,0.202,"Dussinger, J. A.",David Hume's Denial of Personal Identity: The Making of a Skeptic,1980
1.1.7,0.25,"Dussinger, J. A.",David Hume's Denial of Personal Identity: The Making of a Skeptic,1980
1.2.5,0.999,"Russell, Paul","Faith, Scepticism \& Personal Identity: A Festschrift for Terence Penelhum (Review)",1995
1.3.3,3.998,"Russell, Paul","Faith, Scepticism \& Personal Identity: A Festschrift for Terence Penelhum (Review)",1995
1.3.6,0.999,"Russell, Paul","Faith, Scepticism \& Personal Identity: A Festschrift for Terence Penelhum (Review)",1995
1.3.7,0.581,"Russell, Paul","Faith, Scepticism \& Personal Identity: A Festschrift for Terence Penelhum (Review)",1995
