,Literature,IRATIH,ELLTCO-4,PURHPO-3,BRIPTT,NOOAPH,MCIFRO,ROCICH,BIRHOS,PITTEC,PENTSI,KAIPAR,1173780,MATTHB,ROBHOP,KAIOHA-2,SWAPIA-2,MENPIT,WARCSA-3,GAROMI-3,PENHTO,PERHYL,INUJAT,FALSAT-3,PITSRA-2,PEAHOP-2,AINSAP-2,SCAWWH-2,YANHVO,RUSFS-3,ROTWWH,PATHBS,PENHOP-2,ROCHAT-4,GRETIO-4,SPELTT,MCISGA,CLACAH,CARTIJ,EPIHPO,PEAHRO,LESRCO,AMIAHA,FLAHOT,STOPAR,TOMCIH,FRASAT-13,PIKHBT,THITEM,WINAIR,LOECER,DAVHOP,PAPPOT-2,DUSDHD,SCHHOT-7,GALTTO-3,BUCPAR,PURTMS,WINPKP,AINRHA,RICCOT-11,FLAHPO-4,LOERPJ,KAIPOP-2,GARITS-2,ROMFYY-2,MCIHAT-2,ASHHTO,STRAMH-2,SCHIHA-3,ROTTEC,LEVBHW-2,NOOTSA-2,PENTIH,HATHSA,AINPAR,COVROP,GRETSA-6,STRTEC,PENTSO-2,SWABSO,MELHAO,COTMCA-2,STRTEC-2,NATHST,ROTHAJ,WAXHQC,MURWIT,SCHROH-5,AINTPO,MIJHAS,ZINTUT,LYBCHS,INUHLT,GILTNT,HUMHIS,GARHSA,HENDHO,COVROT-2,SIRTCO,BUTTSA-3,totalStrictCites
Literature,0.0,100.00000000000044,94.59290756095079,100.00000000000044,141.9890670205824,100.00000000000044,100.00000000000044,104.8171585069381,141.9890670205824,77.53937001810996,100.00000000000044,73.29951212288141,69.10061714597944,100.00000000000044,76.0727263952296,122.21702719533434,78.04032729064936,100.00000000000044,121.32490226557206,95.81296460696377,100.00000000000044,80.1453852645742,108.55392962106313,100.00000000000044,44.50003396021224,174.32197146773183,161.62084385130197,141.9890670205825,100.00000000000044,100.00000000000044,111.25283491837926,100.00000000000044,100.00000000000044,120.65648320366321,100.00000000000044,97.23774182987253,125.43712378986815,100.00000000000044,115.38997425635567,100.00000000000044,100.00000000000044,141.9890670205824,100.00000000000044,176.119429541004,100.00000000000044,100.00000000000044,185.7626672185744,100.00000000000044,124.57125239454622,66.73132364070982,111.12234524894431,97.90429518176047,128.7639104578279,100.00000000000044,134.58289521074093,138.3457536649508,100.00000000000044,145.52424213086675,118.91499412974578,102.84423433810261,100.00000000000044,114.29819216513248,146.80983681978105,100.00000000000044,191.61334535565518,100.00000000000044,74.19228790979915,100.00000000000044,76.0168538719806,100.00000000000044,141.9890670205824,94.08180485340924,84.01022336061497,101.7471322652713,161.2290642156677,136.66556304123426,161.1865481223327,96.49412155509053,70.11275858601411,115.97886310507512,87.9914130457636,100.00000000000044,90.87538054470045,100.00000000000044,100.00000000000044,128.76391045782773,132.49695703081483,100.00000000000044,164.82986147796427,183.4571256511716,100.00000000000044,100.00000000000044,141.9890670205824,80.76435289866292,100.00000000000044,70.16077597774708,85.14045685282441,135.71878225573747,100.00000000000044,100.00000000000044,100.00000000000044,2756
IRATIH,100.00000000000044,0,100.00000000000003,0,100.0,0,0,100.00000000000003,100.0,100.00000000000007,0,99.99999999999986,100.00000000000016,0,100.00000000000003,99.99999999999984,100.00000000000001,0,100.0,99.99999999999993,0,99.99999999999983,100.00000000000003,0,99.99999999999987,100.0,99.99999999999984,100.00000000000007,0,0,100.00000000000018,0,0,100.00000000000017,0,99.99999999999932,100.00000000000001,0,100.0,0,0,100.0,0,99.99999999999997,0,0,100.0,0,100.0000000000001,100.00000000000007,100.00000000000009,100.0,100.00000000000017,0,100.00000000000004,99.99999999999997,0,100.00000000000001,100.00000000000001,100.00000000000023,0,100.00000000000009,100.00000000000011,0,100.00000000000006,0,100.0000000000001,0,99.99999999999987,0,100.0,99.99999999999999,99.99999999999999,99.99999999999969,99.99999999999997,99.99999999999979,100.0,100.00000000000006,99.99999999999989,100.00000000000007,100.00000000000018,0,99.99999999999994,0,0,100.00000000000001,99.99999999999996,0,100.0,100.00000000000006,0,0,100.0,99.99999999999994,0,100.0,100.00000000000009,100.00000000000003,0,0,0,0
ELLTCO-4,94.59290756095079,100.00000000000003,0.0,100.00000000000003,83.95809743770482,100.00000000000003,100.00000000000003,64.16412463230074,83.95809743770482,91.09677437044245,100.00000000000003,47.50873585305873,70.822892475473,100.00000000000003,55.52270643090429,152.6453648408425,48.44858080837486,100.00000000000003,106.91992863958866,91.88769249396806,100.00000000000003,82.7428784182776,127.60537945691112,100.00000000000003,97.50768328503214,143.01011570446246,179.8177995795374,83.9580974377049,100.00000000000003,100.00000000000003,130.34697920542408,100.00000000000003,100.00000000000003,152.7151702276807,100.00000000000003,156.14198881145325,106.77165099829122,100.00000000000003,131.83637737173174,100.00000000000003,100.00000000000003,83.95809743770482,100.00000000000003,188.53638370090914,100.00000000000003,100.00000000000003,192.45333953223303,100.00000000000003,147.31434159200796,55.448572599694145,100.01282612057616,105.79797442293079,76.41143696993801,100.00000000000003,76.55192562786333,83.9580974377048,100.00000000000003,135.76353325202095,119.15932282268345,134.3920392299948,100.00000000000003,112.03596193136393,175.9868991281756,100.00000000000003,200.0000000000001,100.00000000000003,110.88327697288433,100.00000000000003,97.79677616456098,100.00000000000003,83.95809743770482,42.65133919464849,94.50111284492289,81.93149266157755,166.68889629876622,159.10334794186736,139.98665236920445,92.27111080483725,134.7301275795361,125.84947729346133,90.82121373045622,100.00000000000003,107.7993693617897,100.00000000000003,100.00000000000003,76.41143696993785,80.93463410244678,100.00000000000003,139.98665236920448,200.00000000000006,100.00000000000003,100.00000000000003,83.95809743770482,37.14777433374111,100.00000000000003,69.2230373806011,108.59999179028645,150.6028142721566,100.00000000000003,100.00000000000003,100.00000000000003,133
PURHPO-3,100.00000000000044,0,100.00000000000003,0,100.0,0,0,100.00000000000003,100.0,100.00000000000007,0,99.99999999999986,100.00000000000016,0,100.00000000000003,99.99999999999984,100.00000000000001,0,100.0,99.99999999999993,0,99.99999999999983,100.00000000000003,0,99.99999999999987,100.0,99.99999999999984,100.00000000000007,0,0,100.00000000000018,0,0,100.00000000000017,0,99.99999999999932,100.00000000000001,0,100.0,0,0,100.0,0,99.99999999999997,0,0,100.0,0,100.0000000000001,100.00000000000007,100.00000000000009,100.0,100.00000000000017,0,100.00000000000004,99.99999999999997,0,100.00000000000001,100.00000000000001,100.00000000000023,0,100.00000000000009,100.00000000000011,0,100.00000000000006,0,100.0000000000001,0,99.99999999999987,0,100.0,99.99999999999999,99.99999999999999,99.99999999999969,99.99999999999997,99.99999999999979,100.0,100.00000000000006,99.99999999999989,100.00000000000007,100.00000000000018,0,99.99999999999994,0,0,100.00000000000001,99.99999999999996,0,100.0,100.00000000000006,0,0,100.0,99.99999999999994,0,100.0,100.00000000000009,100.00000000000003,0,0,0,0
BRIPTT,141.9890670205824,100.0,83.95809743770482,100.0,0.0,100.0,100.0,78.46556150447125,0.0,122.87972983344851,100.0,125.4559002313816,143.27974919957316,100.0,101.68256899558838,170.596018700932,104.91959148210684,100.0,114.30611759104976,151.94753259217782,100.0,115.52574297010348,164.7058823529412,100.0,136.38475163862677,200.0,179.81779957953736,7.105427357601002e-14,100.0,100.0,139.23440168793337,100.0,100.0,168.57607906967638,100.0,175.00081462413198,114.31831146605818,100.0,145.83637159107482,100.0,100.0,0.0,100.0,196.08304416867608,100.0,100.0,200.0,100.0,162.24719101123605,105.5775563800075,117.96913887506224,122.23055763940985,22.155688622754354,100.0,7.406171809841495,9.519725557461438,100.0,190.13114025338967,155.4569653948536,156.60374214831978,100.0,119.42215088282504,200.0000000000001,100.0,200.00000000000009,100.0,147.70834464411757,100.0,156.7877141540241,100.0,0.0,99.97498123592693,120.75471698113209,90.81891514408689,166.68889629876622,184.57032755298636,200.0,115.88866212167264,184.4641299639846,133.23566624492244,149.22985358885856,100.0,182.1601124707932,100.0,100.0,22.222222222222207,18.1818181818182,100.0,200.0,200.00000000000003,100.0,100.0,0.0,109.17037383906973,100.0,147.17020175892395,143.85632274714283,164.60215726121615,100.0,100.0,100.0,1
NOOAPH,100.00000000000044,0,100.00000000000003,0,100.0,0,0,100.00000000000003,100.0,100.00000000000007,0,99.99999999999986,100.00000000000016,0,100.00000000000003,99.99999999999984,100.00000000000001,0,100.0,99.99999999999993,0,99.99999999999983,100.00000000000003,0,99.99999999999987,100.0,99.99999999999984,100.00000000000007,0,0,100.00000000000018,0,0,100.00000000000017,0,99.99999999999932,100.00000000000001,0,100.0,0,0,100.0,0,99.99999999999997,0,0,100.0,0,100.0000000000001,100.00000000000007,100.00000000000009,100.0,100.00000000000017,0,100.00000000000004,99.99999999999997,0,100.00000000000001,100.00000000000001,100.00000000000023,0,100.00000000000009,100.00000000000011,0,100.00000000000006,0,100.0000000000001,0,99.99999999999987,0,100.0,99.99999999999999,99.99999999999999,99.99999999999969,99.99999999999997,99.99999999999979,100.0,100.00000000000006,99.99999999999989,100.00000000000007,100.00000000000018,0,99.99999999999994,0,0,100.00000000000001,99.99999999999996,0,100.0,100.00000000000006,0,0,100.0,99.99999999999994,0,100.0,100.00000000000009,100.00000000000003,0,0,0,0
MCIFRO,100.00000000000044,0,100.00000000000003,0,100.0,0,0,100.00000000000003,100.0,100.00000000000007,0,99.99999999999986,100.00000000000016,0,100.00000000000003,99.99999999999984,100.00000000000001,0,100.0,99.99999999999993,0,99.99999999999983,100.00000000000003,0,99.99999999999987,100.0,99.99999999999984,100.00000000000007,0,0,100.00000000000018,0,0,100.00000000000017,0,99.99999999999932,100.00000000000001,0,100.0,0,0,100.0,0,99.99999999999997,0,0,100.0,0,100.0000000000001,100.00000000000007,100.00000000000009,100.0,100.00000000000017,0,100.00000000000004,99.99999999999997,0,100.00000000000001,100.00000000000001,100.00000000000023,0,100.00000000000009,100.00000000000011,0,100.00000000000006,0,100.0000000000001,0,99.99999999999987,0,100.0,99.99999999999999,99.99999999999999,99.99999999999969,99.99999999999997,99.99999999999979,100.0,100.00000000000006,99.99999999999989,100.00000000000007,100.00000000000018,0,99.99999999999994,0,0,100.00000000000001,99.99999999999996,0,100.0,100.00000000000006,0,0,100.0,99.99999999999994,0,100.0,100.00000000000009,100.00000000000003,0,0,0,0
ROCICH,104.8171585069381,100.00000000000003,64.16412463230074,100.00000000000003,78.46556150447125,100.00000000000003,100.00000000000003,0.0,78.46556150447125,87.42336205134525,100.00000000000003,101.28294911597742,104.35115424637723,100.00000000000003,73.90082392280884,157.8800546826553,85.95453807520572,100.00000000000003,104.78457510116641,139.53974873823486,100.00000000000003,72.02205044928658,152.29809849899823,100.00000000000003,100.64402501083843,188.5465876447066,179.81779957953736,78.46556150447131,100.00000000000003,100.00000000000003,85.59776909232923,100.00000000000003,100.00000000000003,101.56392992049858,100.00000000000003,155.62181758104202,113.36393996740864,100.00000000000003,133.3361111689827,100.00000000000003,100.00000000000003,78.46556150447125,100.00000000000003,195.12867267002653,100.00000000000003,100.00000000000003,199.04562850135045,100.00000000000003,124.7759655800022,76.4996320450107,108.19083869185684,87.96785905898987,77.51119000582185,100.00000000000003,77.51119000582173,78.46556150447122,100.00000000000003,177.7233563994467,144.0035530395602,136.69338042953075,100.00000000000003,80.29695024077046,145.4089959057464,100.00000000000003,200.0000000000001,100.00000000000003,115.97052115718692,100.00000000000003,126.92398694363668,100.00000000000003,78.46556150447125,38.48404073452396,63.196571897576874,71.36504859903665,166.68889629876625,168.58705432023277,188.54658764470656,97.56488682780838,146.9422775561758,119.93074515549046,127.30415520093149,100.00000000000003,144.99786344715397,100.00000000000003,100.00000000000003,77.51119000582169,78.4655615044712,100.00000000000003,188.5465876447066,200.00000000000003,100.00000000000003,100.00000000000003,78.46556150447125,81.23148875980871,100.00000000000003,120.9600381843395,120.93608300232712,153.23040261421582,100.00000000000003,100.00000000000003,100.00000000000003,210
BIRHOS,141.9890670205824,100.0,83.95809743770482,100.0,0.0,100.0,100.0,78.46556150447125,0.0,122.87972983344851,100.0,125.4559002313816,143.27974919957316,100.0,101.68256899558838,170.596018700932,104.91959148210684,100.0,114.30611759104976,151.94753259217782,100.0,115.52574297010348,164.7058823529412,100.0,136.38475163862677,200.0,179.81779957953736,7.105427357601002e-14,100.0,100.0,139.23440168793337,100.0,100.0,168.57607906967638,100.0,175.00081462413198,114.31831146605818,100.0,145.83637159107482,100.0,100.0,0.0,100.0,196.08304416867608,100.0,100.0,200.0,100.0,162.24719101123605,105.5775563800075,117.96913887506224,122.23055763940985,22.155688622754354,100.0,7.406171809841495,9.519725557461438,100.0,190.13114025338967,155.4569653948536,156.60374214831978,100.0,119.42215088282504,200.0000000000001,100.0,200.00000000000009,100.0,147.70834464411757,100.0,156.7877141540241,100.0,0.0,99.97498123592693,120.75471698113209,90.81891514408689,166.68889629876622,184.57032755298636,200.0,115.88866212167264,184.4641299639846,133.23566624492244,149.22985358885856,100.0,182.1601124707932,100.0,100.0,22.222222222222207,18.1818181818182,100.0,200.0,200.00000000000003,100.0,100.0,0.0,109.17037383906973,100.0,147.17020175892395,143.85632274714283,164.60215726121615,100.0,100.0,100.0,1
PITTEC,77.53937001810996,100.00000000000007,91.09677437044245,100.00000000000007,122.87972983344851,100.00000000000007,100.00000000000007,87.42336205134525,122.87972983344851,0.0,100.00000000000007,67.13484007720751,80.54640193704665,100.00000000000007,76.82861309386757,102.76906041546823,84.578914151568,100.00000000000007,113.35818734356515,113.57160197586042,100.00000000000007,64.28045194875408,122.24043197753434,100.00000000000007,63.34643080085631,184.64962775347306,164.46742733301045,122.87972983344858,100.00000000000007,100.00000000000007,116.20884331814298,100.00000000000007,100.00000000000007,122.30349318110689,100.00000000000007,137.77639651604585,107.52935758692153,100.00000000000007,129.16935769495205,100.00000000000007,100.00000000000007,122.87972983344851,100.00000000000007,162.0350369380125,100.00000000000007,100.00000000000007,184.64962775347306,100.00000000000007,116.14234796879231,72.66003582928799,88.24462255687652,84.50379921713103,107.52935758692169,100.00000000000007,115.47355802360701,122.87972983344848,100.00000000000007,165.87197441527294,140.10659314832668,123.36093570369398,100.00000000000007,99.85417146365813,173.28433427917497,100.00000000000007,200.00000000000014,100.00000000000007,97.31388678938383,100.00000000000007,104.83688082835499,100.00000000000007,122.87972983344851,92.1789853403945,73.3110608120926,101.85139390080542,143.6633379289758,123.49030907930141,184.64962775347306,96.80246493556618,109.93177149400292,119.9307451554905,101.33600843855707,100.00000000000007,121.01082634380293,100.00000000000007,100.00000000000007,107.52935758692152,122.87972983344847,100.00000000000007,184.64962775347306,200.00000000000009,100.00000000000007,100.00000000000007,122.87972983344851,79.68854594290754,100.00000000000007,87.92950359413526,87.95260996407973,145.85586993903397,100.00000000000007,100.00000000000007,100.00000000000007,26
