,Literature,FALSAT-3,INUJAT,PERHYL,PENHTO,GAROMI-3,WARCSA-3,MENPIT,SWAPIA-2,KAIOHA-2,ROBHOP,MATTHB,1173780,KAIPAR,PENTSI,PITTEC,BIRHOS,ROCICH,MCIFRO,NOOAPH,BRIPTT,PURHPO-3,ELLTCO-4,IRATIH,PEAHRO,EPIHPO,CARTIJ,CLACAH,MCISGA,SPELTT,GRETIO-4,ROCHAT-4,PENHOP-2,PATHBS,ROTWWH,RUSFS-3,YANHVO,SCAWWH-2,AINSAP-2,PEAHOP-2,PITSRA-2,NOOTSA-2,LEVBHW-2,ROTTEC,SCHIHA-3,STRAMH-2,ASHHTO,MCIHAT-2,ROMFYY-2,KAIPOP-2,GARITS-2,LOERPJ,FLAHPO-4,RICCOT-11,AINRHA,WINPKP,PURTMS,BUCPAR,GALTTO-3,SCHHOT-7,DUSDHD,PAPPOT-2,DAVHOP,LOECER,WINAIR,THITEM,PIKHBT,FRASAT-13,TOMCIH,STOPAR,FLAHOT,AMIAHA,LESRCO,BUTTSA-3,SIRTCO,COVROT-2,HENDHO,GARHSA,HUMHIS,GILTNT,INUHLT,LYBCHS,ZINTUT,AINTPO,MIJHAS,SCHROH-5,MURWIT,WAXHQC,ROTHAJ,NATHST,STRTEC-2,COTMCA-2,MELHAO,SWABSO,PENTSO-2,STRTEC,GRETSA-6,COVROP,AINPAR,HATHSA,PENTIH,totalStrictCites
Literature,0.0,100.00000000000043,175.2980373029661,158.39559373303072,100.00000000000043,144.83174034396401,171.02253895796514,100.00000000000043,136.254607873077,170.54758167446894,127.4386842581712,100.00000000000043,122.86407599039022,128.62490249198967,100.00000000000043,135.4166291877099,187.7493895970248,111.00197400852566,100.00000000000043,100.00000000000043,141.98906702058235,100.00000000000043,111.7114995790309,100.00000000000043,100.00000000000043,100.00000000000043,148.65348565738176,100.00000000000043,158.81972099197802,129.10530419490175,100.00000000000043,143.25194125459024,100.00000000000043,100.00000000000043,126.19016075296452,100.00000000000043,100.00000000000043,141.9890670205824,162.2595272102185,183.26316292223495,99.64463461281309,146.49173841341636,173.98550380357506,196.22512616924493,100.00000000000043,112.11435376606084,100.00000000000043,107.77424293656568,100.00000000000043,100.00000000000043,195.94644663695797,168.99373192693076,138.96622293576007,100.00000000000043,139.0865373938379,155.2620945480746,160.28859428749013,100.00000000000043,158.73675892302694,176.81865350965361,100.00000000000043,148.74203805109582,171.731503740572,121.63349491831356,127.67763091654301,131.79362293441872,100.00000000000043,198.30078574457573,100.00000000000043,100.00000000000043,184.46244779013452,100.00000000000043,187.70285858189615,100.00000000000043,100.00000000000043,100.00000000000043,160.62499139959712,147.19719239577114,134.68623927290182,100.00000000000043,115.05885312779455,141.98906702058235,100.00000000000043,189.9561030889935,100.00000000000043,195.60632879698122,100.00000000000043,133.72300556255118,176.81865350965356,100.00000000000043,100.00000000000043,126.78448377594265,100.00000000000043,130.49039690660157,138.1615786491545,104.1894600213706,121.60991780716589,180.02885936054997,165.64709540242995,186.94215246831453,111.14600770929624,2756
FALSAT-3,100.00000000000043,0,100.00000000000004,99.99999999999987,0,99.99999999999976,100.00000000000004,0,100.0,99.99999999999956,100.00000000000003,0,100.00000000000047,99.99999999999991,0,100.00000000000017,99.99999999999999,100.00000000000007,0,0,100.00000000000001,0,100.00000000000003,0,0,0,100.00000000000003,0,100.00000000000009,100.00000000000024,0,100.0,0,0,100.00000000000006,0,0,100.00000000000009,100.00000000000017,100.0,99.99999999999999,100.00000000000001,99.99999999999996,100.0,0,99.99999999999955,0,100.00000000000004,0,0,100.00000000000011,100.00000000000016,99.99999999999999,0,100.0000000000004,99.99999999999997,100.00000000000006,0,99.99999999999997,100.00000000000003,0,100.00000000000017,100.00000000000004,100.0000000000003,100.00000000000007,100.00000000000017,0,99.99999999999999,0,0,99.99999999999991,0,100.0,0,0,0,100.0,99.99999999999999,99.99999999999996,0,100.0,100.00000000000001,0,100.00000000000006,0,100.0,0,99.99999999999994,99.99999999999999,0,0,99.99999999999999,0,100.00000000000023,99.99999999999994,99.99999999999983,99.99999999999982,99.99999999999999,99.99999999999982,99.99999999999994,99.9999999999995,0
INUJAT,175.2980373029661,100.00000000000004,0.0,189.8893874105992,100.00000000000004,118.81948332400225,176.47058823529386,100.00000000000004,165.28485068229355,176.33567585051003,173.69235782955846,100.00000000000004,165.69503735325466,152.61036764994228,100.00000000000004,186.52237316754957,200.00000000000006,183.14389059085144,100.00000000000004,100.00000000000004,175.00000000000003,100.00000000000004,168.99220976511938,100.00000000000004,100.00000000000004,100.00000000000004,185.4163628408926,100.00000000000004,186.3528069527866,188.48121476750524,100.00000000000004,195.1385484282155,100.00000000000004,100.00000000000004,189.5307947352557,100.00000000000004,100.00000000000004,175.00000000000003,197.4772249474423,176.47058823529417,179.36605302878868,173.58490566037736,188.23529411764707,188.23529411764707,100.00000000000004,162.93594430250405,100.00000000000004,189.37401596177867,100.00000000000004,100.00000000000004,200.0000000000001,196.3087860007293,194.9438202247198,100.00000000000004,179.303220646796,151.35967430450438,191.6759279839964,100.00000000000004,173.94141189923658,176.47058823529414,100.00000000000004,173.67617705764934,174.38673393838664,186.09891850309958,185.42248530576524,192.88389513108623,100.00000000000004,200.00000000000003,100.00000000000004,100.00000000000004,191.5073810504028,100.00000000000004,176.47058823529412,100.00000000000004,100.00000000000004,100.00000000000004,199.99999999999997,179.13309106230588,173.19537851353678,100.00000000000004,150.3050670045586,175.00000000000003,100.00000000000004,200.00000000000026,100.00000000000004,200.00000000000006,100.00000000000004,175.97402597402592,176.47058823529414,100.00000000000004,100.00000000000004,176.4821195200189,100.00000000000004,183.91143911439113,183.33888259972076,172.30848646307408,177.11291559917214,176.47058823529414,187.46458120820552,177.79259753251077,177.39360944047013,17
PERHYL,158.39559373303072,99.99999999999987,189.8893874105992,0.0,99.99999999999987,160.57222256174737,179.72815765671118,99.99999999999987,167.02009262553224,191.42781374382068,145.82057182609117,99.99999999999987,175.26914403213308,165.67300877758308,99.99999999999987,150.5566149921828,185.1805783839011,161.2380076216349,99.99999999999987,99.99999999999987,150.31910325322414,99.99999999999987,162.52171509824854,99.99999999999987,99.99999999999987,99.99999999999987,165.22054632523927,99.99999999999987,158.43171607324473,181.5669538863937,99.99999999999987,180.93972858551152,99.99999999999987,99.99999999999987,175.37913422529257,99.99999999999987,99.99999999999987,150.31910325322417,187.7572050413998,199.9999999999999,148.4648117425137,177.5604882476742,184.24594733198387,199.6268490959974,99.99999999999987,168.04333728059717,99.99999999999987,157.92548553197327,99.99999999999987,99.99999999999987,199.99999999999991,191.3735016378674,181.36514568622155,99.99999999999987,178.39799740195892,176.06944166939232,186.23141086866215,99.99999999999987,168.90982006154195,159.5255504592713,99.99999999999987,141.27226866510404,166.13961954498802,159.1731852111559,166.23300716588062,175.39148817298985,99.99999999999987,195.2378837013015,99.99999999999987,99.99999999999987,185.93539321975828,99.99999999999987,167.7846386211185,99.99999999999987,99.99999999999987,99.99999999999987,183.57692920099961,171.06880680282433,167.16211711376596,99.99999999999987,161.62277687057207,150.31910325322414,99.99999999999987,195.6855977408222,99.99999999999987,195.55772733330363,99.99999999999987,152.91650585062675,157.67402603171774,99.99999999999987,99.99999999999987,174.33588318306613,99.99999999999987,172.92512952614288,161.52101286230672,171.79356446449296,163.8170837481795,195.55772733330355,160.74849230207184,188.14999695825028,163.3314552070189,45
PENHTO,100.00000000000043,0,100.00000000000004,99.99999999999987,0,99.99999999999976,100.00000000000004,0,100.0,99.99999999999956,100.00000000000003,0,100.00000000000047,99.99999999999991,0,100.00000000000017,99.99999999999999,100.00000000000007,0,0,100.00000000000001,0,100.00000000000003,0,0,0,100.00000000000003,0,100.00000000000009,100.00000000000024,0,100.0,0,0,100.00000000000006,0,0,100.00000000000009,100.00000000000017,100.0,99.99999999999999,100.00000000000001,99.99999999999996,100.0,0,99.99999999999955,0,100.00000000000004,0,0,100.00000000000011,100.00000000000016,99.99999999999999,0,100.0000000000004,99.99999999999997,100.00000000000006,0,99.99999999999997,100.00000000000003,0,100.00000000000017,100.00000000000004,100.0000000000003,100.00000000000007,100.00000000000017,0,99.99999999999999,0,0,99.99999999999991,0,100.0,0,0,0,100.0,99.99999999999999,99.99999999999996,0,100.0,100.00000000000001,0,100.00000000000006,0,100.0,0,99.99999999999994,99.99999999999999,0,0,99.99999999999999,0,100.00000000000023,99.99999999999994,99.99999999999983,99.99999999999982,99.99999999999999,99.99999999999982,99.99999999999994,99.9999999999995,0
GAROMI-3,144.83174034396401,99.99999999999976,118.81948332400225,160.57222256174737,99.99999999999976,0.0,172.80269969199313,99.99999999999976,129.89345238082498,170.31351330101663,159.7089147563242,99.99999999999976,148.1935624137512,115.43230267898159,99.99999999999976,162.13555856886805,182.66016156122552,158.86017031139943,99.99999999999976,99.99999999999976,159.94827907968767,99.99999999999976,148.6510670869556,99.99999999999976,99.99999999999976,99.99999999999976,165.34630376182395,99.99999999999976,142.8667730126971,176.64430196891385,99.99999999999976,185.42785830473113,99.99999999999976,99.99999999999976,180.28050721860777,99.99999999999976,99.99999999999976,159.94827907968786,181.9333859423241,176.0057586179315,152.59334687120585,164.80150424275573,181.165454991828,191.666000159962,99.99999999999976,149.11427037585662,99.99999999999976,156.4843715862067,99.99999999999976,99.99999999999976,199.99999999999977,179.92871721723776,186.54003937931355,99.99999999999976,162.05682085340675,141.84408696659926,178.20800847316556,99.99999999999976,159.53840832345477,181.79636887147126,99.99999999999976,170.83283644659858,181.02855314724522,156.32801238703183,160.02743525971638,172.31226303439988,99.99999999999976,199.42413820683106,99.99999999999976,99.99999999999976,186.5645673256973,99.99999999999976,182.9960809405747,99.99999999999976,99.99999999999976,99.99999999999976,188.95158793279336,176.9693973609608,151.62880598258053,99.99999999999976,140.40236830322158,159.94827907968767,99.99999999999976,198.68031672398615,99.99999999999976,184.00383907862118,99.99999999999976,160.8140799454886,181.79636887147123,99.99999999999976,99.99999999999976,142.00682866170322,99.99999999999976,159.4543441225103,172.72146886918037,150.3809329562039,155.2305670906933,160.0095976965526,187.34413952597467,182.99608094057493,174.67716011418656,25
WARCSA-3,171.02253895796514,100.00000000000004,176.47058823529386,179.72815765671118,100.00000000000004,172.80269969199313,0.0,100.00000000000004,147.85620541588878,185.2980093504652,173.06350672001633,100.00000000000004,172.00840448239038,171.55966900662753,100.00000000000004,173.1325368715412,180.95691502023286,169.21102108206608,100.00000000000004,100.00000000000004,149.99999999999991,100.00000000000004,160.6739803684845,100.00000000000004,100.00000000000004,100.00000000000004,153.30572322732326,100.00000000000004,170.0421299739431,171.69739598502397,100.00000000000004,188.4355420697478,100.00000000000004,100.00000000000004,183.9043504471011,100.00000000000004,100.00000000000004,149.99999999999997,168.93519457930756,200.00000000000006,172.80897829396787,192.4528301886788,164.29441814757865,180.95691502023286,100.00000000000004,186.50847945060414,100.00000000000004,171.03823906828336,100.00000000000004,100.00000000000004,200.00000000000003,199.7265767407944,171.92802256437417,100.00000000000004,160.7011376493459,185.82007241694862,180.55966522011096,100.00000000000004,157.1414903119393,164.28746825904315,100.00000000000004,166.98485913200957,177.7777777777774,175.1383968738887,178.67304669682716,189.99999999999974,100.00000000000004,199.99999999999957,100.00000000000004,100.00000000000004,198.69434805622487,100.00000000000004,180.95691502023286,100.00000000000004,100.00000000000004,100.00000000000004,168.14907696147282,175.34241590799152,183.92136575271584,100.00000000000004,168.6599547334737,149.99999999999991,100.00000000000004,177.91657850077846,100.00000000000004,199.9999999999999,100.00000000000004,154.54545454545442,161.9138300404663,100.00000000000004,100.00000000000004,188.2628410756009,100.00000000000004,190.48208546601583,151.01848754542542,191.15872290686397,160.8287179186944,200.00000000000006,196.96339113680094,188.89629876625494,144.16633800635816,21
MENPIT,100.00000000000043,0,100.00000000000004,99.99999999999987,0,99.99999999999976,100.00000000000004,0,100.0,99.99999999999956,100.00000000000003,0,100.00000000000047,99.99999999999991,0,100.00000000000017,99.99999999999999,100.00000000000007,0,0,100.00000000000001,0,100.00000000000003,0,0,0,100.00000000000003,0,100.00000000000009,100.00000000000024,0,100.0,0,0,100.00000000000006,0,0,100.00000000000009,100.00000000000017,100.0,99.99999999999999,100.00000000000001,99.99999999999996,100.0,0,99.99999999999955,0,100.00000000000004,0,0,100.00000000000011,100.00000000000016,99.99999999999999,0,100.0000000000004,99.99999999999997,100.00000000000006,0,99.99999999999997,100.00000000000003,0,100.00000000000017,100.00000000000004,100.0000000000003,100.00000000000007,100.00000000000017,0,99.99999999999999,0,0,99.99999999999991,0,100.0,0,0,0,100.0,99.99999999999999,99.99999999999996,0,100.0,100.00000000000001,0,100.00000000000006,0,100.0,0,99.99999999999994,99.99999999999999,0,0,99.99999999999999,0,100.00000000000023,99.99999999999994,99.99999999999983,99.99999999999982,99.99999999999999,99.99999999999982,99.99999999999994,99.9999999999995,0
SWAPIA-2,136.254607873077,100.0,165.28485068229355,167.02009262553224,100.0,129.89345238082498,147.85620541588878,100.0,0.0,180.8973855333446,136.32561138486628,100.0,123.74647789510009,132.2002899662448,100.0,152.12536140522127,170.49228701168832,136.70636457373195,100.0,100.0,133.8803189018759,100.0,117.76999501606196,100.0,100.0,100.0,143.63812637953592,100.0,150.15572112463755,182.13149119662742,100.0,183.60191745618016,100.0,100.0,161.25143134124474,100.0,100.0,133.88031890187597,182.02192080638403,177.0495565646465,155.63404760905823,162.6046340718818,168.76716897355635,190.16409567056274,100.0,149.29679352047629,100.0,153.47096216429034,100.0,100.0,196.71808658874448,192.21565760505848,157.30637839450202,100.0,149.25475159070265,160.6698252302932,174.07188756181827,100.0,130.60168412539682,167.21365223520925,100.0,155.6627143411576,171.99277415349533,149.4094755418799,143.48010136876147,177.60299625468176,100.0,199.99999999999997,100.0,100.0,197.38869611245067,100.0,183.6068261176046,100.0,100.0,100.0,175.06121202670988,167.67616145708186,139.30980780299743,100.0,126.52132002503413,133.8803189018759,100.0,194.3680549003332,100.0,186.8854608940837,100.0,135.61192063347755,167.2136522352092,100.0,100.0,149.58563750311936,100.0,146.3435755845254,156.67969409645434,159.9967579723882,142.11711025210147,157.377747905772,192.52408477841988,183.60682611760456,151.22007629965245,61
KAIOHA-2,170.54758167446894,99.99999999999956,176.33567585051003,191.42781374382068,99.99999999999956,170.31351330101663,185.2980093504652,99.99999999999956,180.8973855333446,0.0,184.95025742028685,99.99999999999956,181.62617541787557,174.88378776637282,99.99999999999956,182.17056926602004,194.11920374018598,179.85629093673037,99.99999999999956,99.99999999999956,177.45253707351932,99.99999999999956,175.76923020095805,99.99999999999956,99.99999999999956,99.99999999999956,185.78569679212458,99.99999999999956,188.79143799675708,184.3387043248481,99.99999999999956,180.3700450307739,99.99999999999956,99.99999999999956,178.1308425290592,99.99999999999956,99.99999999999956,177.45253707351932,190.37377323117963,199.99999999999957,170.29711779016242,175.4102826277391,197.05960187009273,188.23840748037242,99.99999999999956,181.07858766017094,99.99999999999956,177.5957609838718,99.99999999999956,99.99999999999956,199.9999999999996,197.9907277659033,183.65329081287928,99.99999999999956,176.8893379397682,175.02502143137963,186.278065157379,99.99999999999956,177.58345455960975,176.3356758505098,99.99999999999956,179.71403483720272,167.43570222193748,172.17792309034223,171.52310297923734,184.96236015075533,99.99999999999956,199.57658266929351,99.99999999999956,99.99999999999956,195.16587030033713,99.99999999999956,188.23840748037244,99.99999999999956,99.99999999999956,99.99999999999956,191.89583858649252,186.61194283297965,189.76397729963924,99.99999999999956,185.2102829061611,177.45253707351932,99.99999999999956,199.9999999999998,99.99999999999956,199.99999999999957,99.99999999999956,176.37028599126822,176.33567585050977,99.99999999999956,99.99999999999956,187.3181004198044,99.99999999999956,145.76316178431364,183.01179213999993,183.40773711487793,176.00641161117755,199.99999999999955,197.45423661230765,188.89629876625548,184.53336444480087,34
