Location,Score,Author,Title,Year
1.1.1,0.666,"Garrett, Don",Humes Self-Doubts About Personal Identity,1981
1.1.2,0.333,"Garrett, Don",Humes Self-Doubts About Personal Identity,1981
1.1.6,0.031,"Garrett, Don",Humes Self-Doubts About Personal Identity,1981
1.1.7,1.969,"Garrett, Don",Humes Self-Doubts About Personal Identity,1981
1.3.4,0.778,"Garrett, Don",Humes Self-Doubts About Personal Identity,1981
1.3.5,1.221,"Garrett, Don",Humes Self-Doubts About Personal Identity,1981
1.3.14,0.5,"Garrett, Don",Humes Self-Doubts About Personal Identity,1981
1.3.15,0.997,"Garrett, Don",Humes Self-Doubts About Personal Identity,1981
1.4.2,0.998,"Garrett, Don",Humes Self-Doubts About Personal Identity,1981
1.4.5,1.666,"Garrett, Don",Humes Self-Doubts About Personal Identity,1981
1.4.6,5.33,"Garrett, Don",Humes Self-Doubts About Personal Identity,1981
2.1.1,0.25,"Garrett, Don",Humes Self-Doubts About Personal Identity,1981
2.1.2,0.75,"Garrett, Don",Humes Self-Doubts About Personal Identity,1981
2.1.8,0.666,"Garrett, Don",Humes Self-Doubts About Personal Identity,1981
2.1.9,0.333,"Garrett, Don",Humes Self-Doubts About Personal Identity,1981
2.3.1,0.999,"Garrett, Don",Humes Self-Doubts About Personal Identity,1981
App.,1.5,"Garrett, Don",Humes Self-Doubts About Personal Identity,1981
1.3.13,0.2,"Garral, Michael D.",Is the Self in Hume Overmoralized?,2007
1.3.15,0.654,"Garral, Michael D.",Is the Self in Hume Overmoralized?,2007
1.3.16,0.15,"Garral, Michael D.",Is the Self in Hume Overmoralized?,2007
3.1.2,1.0,"Garral, Michael D.",Is the Self in Hume Overmoralized?,2007
3.2.1,3.337,"Garral, Michael D.",Is the Self in Hume Overmoralized?,2007
3.2.2,1.165,"Garral, Michael D.",Is the Self in Hume Overmoralized?,2007
3.2.5,3.499,"Garral, Michael D.",Is the Self in Hume Overmoralized?,2007
3.2.6,0.999,"Garral, Michael D.",Is the Self in Hume Overmoralized?,2007
3.2.8,1.001,"Garral, Michael D.",Is the Self in Hume Overmoralized?,2007
