,score
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
0.10,0.0
0.7n1,0.0
1.1.1.1,8.702
1.1.1.2,4.202
1.1.1.3,0.202
1.1.1.4,0.077
1.1.1.5,0.139
1.1.1.6,0.139
1.1.1.7,5.138999999999999
1.1.1.8,8.305
1.1.1.9,0.743
1.1.1.10,2.243
1.1.1.11,12.41
1.1.1.12,3.41
1.1.1.1n2,0.202
1.1.2.1,10.333
1.1.3.1,1.0
1.1.3.2,0.0
1.1.3.3,0.0
1.1.3.4,3.583
1.1.3.1n3,0.0
1.1.4.1,24.901999999999997
1.1.4.2,6.819
1.1.4.3,3.8609999999999998
1.1.4.4,2.4719999999999995
1.1.4.5,2.4719999999999995
1.1.4.6,18.028
1.1.4.7,2.4859999999999998
1.1.5.1,2.084
1.1.5.2,1.028
1.1.5.3,1.5280000000000002
1.1.5.4,1.528
1.1.5.5,0.528
1.1.5.6,1.612
1.1.5.7,0.5840000000000001
1.1.5.8,2.584
1.1.5.9,0.5840000000000001
1.1.5.10,0.5840000000000001
1.1.6.1,4.75
1.1.6.2,1.666
1.1.6.3,2.0300000000000002
1.1.7.1,1.081
1.1.7.2,0.22099999999999997
1.1.7.3,6.220999999999999
1.1.7.4,0.158
1.1.7.5,0.158
1.1.7.6,1.721
1.1.7.7,5.482
1.1.7.8,0.419
1.1.7.9,0.45
1.1.7.10,0.40800000000000003
1.1.7.11,2.158
1.1.7.12,0.189
1.1.7.13,0.158
1.1.7.14,0.158
1.1.7.15,6.623
1.1.7.16,0.092
1.1.7.17,1.592
1.1.7.18,1.55
1.1.7.1n4,0.081
1.1.7.7n5,2.05
1.2.1.1,0.9
1.2.1.2,2.233
1.2.1.3,1.733
1.2.1.4,1.233
1.2.1.5,0.9
1.2.2.1,0.249
1.2.2.2,0.499
1.2.2.3,2.499
1.2.2.4,1.249
1.2.2.5,0.249
1.2.2.6,0.249
1.2.2.7,0.249
1.2.2.8,0.249
1.2.2.9,0.249
1.2.2.10,0.249
1.2.2.2n6,0.499
1.2.2.3n7,0.499
1.2.3.1,2.4239999999999995
1.2.3.2,0.424
1.2.3.3,0.6740000000000002
1.2.3.4,0.6740000000000002
1.2.3.5,1.674
1.2.3.6,1.6739999999999997
1.2.3.7,0.424
1.2.3.8,0.7570000000000002
1.2.3.9,0.7570000000000002
1.2.3.10,1.7569999999999997
1.2.3.11,3.424
1.2.3.12,0.424
1.2.3.13,0.424
1.2.3.14,0.424
1.2.3.15,0.424
1.2.3.16,0.424
1.2.3.17,0.424
1.2.3.7n8,0.424
1.2.3.11n9,0.424
1.2.4.1,0.0
1.2.4.2,2.0
1.2.4.3,0.0
1.2.4.4,0.0
1.2.4.5,0.0
1.2.4.6,0.0
1.2.4.7,0.0
1.2.4.8,0.0
1.2.4.9,0.0
1.2.4.10,0.0
1.2.4.11,2.0
1.2.4.12,0.0
1.2.4.13,0.0
1.2.4.14,0.0
1.2.4.15,0.0
1.2.4.16,0.0
1.2.4.17,2.333
1.2.4.18,0.333
1.2.4.19,0.333
1.2.4.20,0.0
1.2.4.21,0.0
1.2.4.22,0.0
1.2.4.23,0.0
1.2.4.24,2.5
1.2.4.25,2.0
1.2.4.26,0.0
1.2.4.27,0.5
1.2.4.28,0.0
1.2.4.29,1.0
1.2.4.30,0.0
1.2.4.31,0.0
1.2.4.32,1.0
1.2.4.33,1.5
1.2.4.12n10,0.0
1.2.4.21n11,0.0
1.2.5.1,0.066
1.2.5.2,0.066
1.2.5.3,0.066
1.2.5.4,0.066
1.2.5.5,0.4660000000000001
1.2.5.6,0.4660000000000001
1.2.5.7,0.4660000000000001
1.2.5.8,0.4660000000000001
1.2.5.9,0.4660000000000001
1.2.5.10,0.066
1.2.5.11,0.066
1.2.5.12,0.066
1.2.5.13,0.066
1.2.5.14,0.066
1.2.5.15,0.066
1.2.5.16,0.066
1.2.5.17,0.066
1.2.5.18,0.066
1.2.5.19,0.066
1.2.5.20,9.065999999999999
1.2.5.21,1.0659999999999998
1.2.5.22,0.066
1.2.5.23,0.066
1.2.5.24,0.066
1.2.5.25,0.066
1.2.5.26,7.066
1.2.5.27,0.066
1.2.5.28,0.066
1.2.5.29,1.0659999999999998
1.2.5.26n12,0.066
1.2.6.1,0.716
1.2.6.2,1.716
1.2.6.3,0.716
1.2.6.4,1.216
1.2.6.5,1.591
1.2.6.6,0.591
1.2.6.7,1.591
1.2.6.8,6.758
1.2.6.9,7.258
1.2.6.6n13,0.591
1.2.6.9n14,0.258
1.3.1.1,1.146
1.3.1.2,0.146
1.3.1.3,0.146
1.3.1.4,0.146
1.3.1.5,0.021
1.3.1.6,0.021
1.3.1.7,5.021
1.3.1.1n15,0.021
1.3.2.1,2.031
1.3.2.2,19.031
1.3.2.3,1.531
1.3.2.4,1.5309999999999997
1.3.2.5,0.5309999999999999
1.3.2.6,0.698
1.3.2.7,2.698
1.3.2.8,0.698
1.3.2.9,0.698
1.3.2.10,0.698
1.3.2.11,1.698
1.3.2.12,0.5309999999999999
1.3.2.13,0.5309999999999999
1.3.2.14,0.5309999999999999
1.3.2.15,0.5309999999999999
1.3.2.16,0.5309999999999999
1.3.2.6n16,0.5309999999999999
1.3.3.1,0.249
1.3.3.2,0.249
1.3.3.3,0.249
1.3.3.4,0.249
1.3.3.5,0.249
1.3.3.6,0.249
1.3.3.7,0.249
1.3.3.8,0.249
1.3.3.9,0.249
1.3.3.4n17,0.249
1.3.3.5n18,0.249
1.3.3.6n19,0.249
1.3.4.1,0.167
1.3.4.2,0.167
1.3.4.3,0.444
1.3.5.1,0.444
1.3.5.2,3.444
1.3.5.3,0.333
1.3.5.4,0.0
1.3.5.5,0.0
1.3.5.6,0.0
1.3.5.7,0.0
1.3.6.1,1.062
1.3.6.2,1.062
1.3.6.3,0.139
1.3.6.4,0.139
1.3.6.5,0.139
1.3.6.6,0.139
1.3.6.7,1.139
1.3.6.8,0.139
1.3.6.9,0.139
1.3.6.10,0.139
1.3.6.11,0.139
1.3.6.12,4.339
1.3.6.13,0.339
1.3.6.14,0.339
1.3.6.15,4.339
1.3.6.16,2.262
1.3.7.1,0.0
1.3.7.2,0.0
1.3.7.3,0.5
1.3.7.4,0.0
1.3.7.5,2.5
1.3.7.6,0.5
1.3.7.7,1.0
1.3.7.8,0.0
1.3.7.5n20,0.0
1.3.8.1,0.112
1.3.8.2,0.112
1.3.8.3,0.112
1.3.8.4,0.112
1.3.8.5,0.112
1.3.8.6,0.112
1.3.8.7,0.112
1.3.8.8,0.112
1.3.8.9,0.112
1.3.8.10,0.112
1.3.8.11,0.112
1.3.8.12,2.112
1.3.8.13,0.237
1.3.8.14,0.362
1.3.8.15,0.903
1.3.8.16,4.2780000000000005
1.3.8.17,1.278
1.3.8.5n21,0.112
1.3.9.1,0.0
1.3.9.2,0.0
1.3.9.3,0.0
1.3.9.4,0.0
1.3.9.5,0.0
1.3.9.6,0.0
1.3.9.7,0.0
1.3.9.8,0.0
1.3.9.9,0.0
1.3.9.10,0.0
1.3.9.11,0.0
1.3.9.12,0.0
1.3.9.13,3.0
1.3.9.14,0.0
1.3.9.15,1.0
1.3.9.16,0.0
1.3.9.17,1.0
1.3.9.18,0.0
1.3.9.19,1.0
1.3.9.19n22,0.0
1.3.10.1,0.021
1.3.10.2,0.021
1.3.10.3,0.521
1.3.10.4,0.521
1.3.10.5,0.021
1.3.10.6,0.021
1.3.10.7,0.021
1.3.10.8,0.021
1.3.10.9,1.021
1.3.10.10,0.021
1.3.10.11,0.021
1.3.10.12,0.021
1.3.11.1,0.021
1.3.11.2,0.021
1.3.11.3,0.021
1.3.11.4,0.021
1.3.11.5,0.021
1.3.11.6,0.021
1.3.11.7,0.021
1.3.11.8,0.021
1.3.11.9,0.021
1.3.11.10,0.021
1.3.11.11,0.021
1.3.11.12,0.021
1.3.11.13,0.021
1.3.12.1,0.021
1.3.12.2,0.021
1.3.12.3,0.021
1.3.12.4,0.021
1.3.12.5,0.021
1.3.12.6,0.021
1.3.12.7,0.021
1.3.12.8,0.021
1.3.12.9,0.021
1.3.12.10,0.021
1.3.12.11,0.021
1.3.12.12,0.021
1.3.12.13,0.021
1.3.12.14,0.021
1.3.12.15,0.021
1.3.12.16,1.021
1.3.12.17,0.021
1.3.12.18,0.021
1.3.12.19,0.021
1.3.12.20,1.021
1.3.12.21,0.021
1.3.12.22,0.021
1.3.12.23,0.021
1.3.12.24,0.021
1.3.12.25,0.021
1.3.12.23n23,0.021
1.3.13.1,0.064
1.3.13.2,0.064
1.3.13.3,0.064
1.3.13.4,0.064
1.3.13.5,0.189
1.3.13.6,0.189
1.3.13.7,0.35600000000000004
1.3.13.8,0.23099999999999998
1.3.13.9,0.23099999999999998
1.3.13.10,0.314
1.3.13.11,0.314
1.3.13.12,0.8140000000000001
1.3.13.13,0.5640000000000001
1.3.13.14,0.064
1.3.13.15,0.064
1.3.13.16,0.064
1.3.13.17,0.064
1.3.13.18,0.064
1.3.13.19,0.064
1.3.13.20,0.064
1.3.13.5n24,0.189
1.3.13.11n25,0.314
1.3.13.17n26,0.064
1.3.14.1,0.786
1.3.14.2,0.573
1.3.14.3,0.573
1.3.14.4,3.623
1.3.14.5,0.623
1.3.14.6,2.623
1.3.14.7,2.123
1.3.14.8,4.623
1.3.14.9,0.623
1.3.14.10,3.8360000000000003
1.3.14.11,0.8360000000000001
1.3.14.12,5.648
1.3.14.13,6.836
1.3.14.14,3.8360000000000007
1.3.14.15,2.8360000000000003
1.3.14.16,2.886
1.3.14.17,0.8859999999999999
1.3.14.18,0.8859999999999999
1.3.14.19,0.8859999999999999
1.3.14.20,2.9560000000000004
1.3.14.21,0.956
1.3.14.22,3.956
1.3.14.23,3.623
1.3.14.24,4.734
1.3.14.25,2.2340000000000004
1.3.14.26,5.067
1.3.14.27,12.066999999999998
1.3.14.28,1.067
1.3.14.29,12.733999999999998
1.3.14.30,2.7340000000000004
1.3.14.31,9.234
1.3.14.32,3.123
1.3.14.33,1.623
1.3.14.34,1.573
1.3.14.35,3.8230000000000004
1.3.14.36,1.8230000000000002
1.3.14.1n27,0.786
1.3.14.5n28,0.623
1.3.14.7n29,2.123
1.3.14.12n30,5.648
1.3.14.17n31,0.8859999999999999
1.3.14.25n32,2.2340000000000004
1.3.15.1,1.123
1.3.15.2,0.323
1.3.15.3,1.323
1.3.15.4,0.323
1.3.15.5,0.323
1.3.15.6,0.42300000000000004
1.3.15.7,0.35200000000000004
1.3.15.8,0.35200000000000004
