,RelativeTotalCites,project_muse_388510,pq21-0324,ContentServer.asp-5,ContentServer.asp-8,1398236,project_muse_439820,MURRAY-1993-Ethos,Gilead2008_Article_AHumeanArgumentForPersonalIden,533Cottrell,humes_theory_of_the_self_and_its_identity,acpq_1995_0069_0003_0485_0501&pdfname=acpq_1995_0069_0003_0091_0107,Flage_et_al-1984-The_Southern_Journal_of_Philosophy,ContentServer.asp-6,pq30-0061,2653404-2,project_muse_388443,fzt013,project_muse_439818,2182635,project_muse_391081,project_muse_383238,2660181,project_muse_227867,SIRTCO.1,31448-231447-1-PB,WINKLER-2010-Philosophical_Books,project_muse_390704,pq9-0097,project_muse_382731,project_muse_403836,1399612,project_muse_389409,20131803,20009239,ContentServer.asp-3,project_muse_382681,project_muse_388506,project_muse_383386,project_muse_399569,27902511,Levin2007_Article_BundlingHumeWithKripkenstein,out,acpq_1990_0064_0002_0233_0247,Projection and Realism in Hume's Philosophy coventry review,project_muse_389389,27744766,project_muse_388507,ContentServer.asp-2,20532746,project_muse_389490,43155096,Schwerin2012_Article_HumeOnTheSelf,project_muse_389493,41441496,humes_theory_of_the_self_revisited,project_muse_388509,2106947,2239-Article Text-2582-1-10-20140925,Kail-2008-European_Journal_of_Philosophy,20126883,project_muse_365207,ipq_2004_0044_0002_0276_0278&pdfname=ipq_2004_0044_0002_0134_0136,26303717,20708617,project_muse_596651,project_muse_383297,project_muse_228761,fshow,project_muse_385510,9780470776377.ch8,2184977,ContentServer.asp-7,project_muse_383344,ContentServer.asp-4,40232176,project_muse_553401,27745095,23598030,Prolegomena_11_2_2012_Article_Lybaert,Projection and Realism in Hume s Philosophy,project_muse_382933,project_muse_511194,3327575,project_muse_382726,24439665,project_muse_383319
RelativeTotalCites,0.0,135.06999999999996,147.02899999999917,99.99799999999989,99.99799999999989,99.99799999999989,126.96400000000001,99.99799999999989,99.99799999999989,118.97900000000003,99.99799999999989,137.499,186.23899999999887,182.6719999999987,99.99799999999989,133.79799999999994,154.52399999999935,99.99799999999989,99.99799999999989,99.99799999999989,134.18599999999986,125.12899999999989,198.0259999999989,126.12299999999996,99.99799999999989,134.82599999999994,156.83799999999846,168.93899999999888,99.99799999999989,99.99799999999989,137.4979999999999,99.99799999999989,99.99799999999989,99.99799999999989,99.99799999999989,184.71899999999883,189.84699999999992,115.61399999999999,117.92299999999993,99.99799999999989,99.99799999999989,169.9339999999987,125.24300000000032,174.9789999999988,196.40099999999896,185.50299999999876,99.99799999999989,113.54099999999991,99.99799999999989,178.01299999999895,99.99799999999989,99.99799999999989,174.9809999999988,99.99799999999989,147.64799999999943,99.99799999999989,150.59599999999907,99.99799999999989,194.84399999999923,156.31499999999866,186.4329999999988,99.99799999999989,151.420999999999,99.99799999999989,156.08199999999857,111.07300000000009,99.99799999999989,149.3309999999997,198.1519999999989,99.99799999999989,118.12899999999986,140.45599999999968,99.99799999999989,148.0249999999993,158.0279999999988,132.568,90.91999999999989,126.16499999999995,99.99799999999989,99.99799999999989,99.99799999999989,157.80399999999935,195.56199999999876,99.99799999999989,180.31399999999954,168.36899999999872,99.99799999999989
project_muse_388510,135.06999999999996,0.0,135.29699999999985,99.9999999999998,99.9999999999998,99.9999999999998,163.62400000000025,99.9999999999998,99.9999999999998,178.9129999999999,99.9999999999998,167.0069999999999,193.13699999999974,199.20799999999974,99.9999999999998,151.10799999999986,116.4739999999998,99.9999999999998,99.9999999999998,99.9999999999998,171.86799999999988,154.38699999999983,199.99799999999976,156.31899999999993,99.9999999999998,157.31199999999978,159.85599999999994,163.89499999999984,99.9999999999998,99.9999999999998,141.08000000000004,99.9999999999998,99.9999999999998,99.9999999999998,99.9999999999998,178.9049999999998,199.9989999999998,153.90799999999976,134.72099999999986,99.9999999999998,99.9999999999998,185.53999999999988,164.28300000000078,166.67699999999982,200.00099999999978,178.9029999999998,99.9999999999998,141.0169999999998,99.9999999999998,194.43299999999982,99.9999999999998,99.9999999999998,166.67899999999983,99.9999999999998,150.09400000000002,99.9999999999998,147.0419999999998,99.9999999999998,199.99999999999986,175.92099999999994,182.2189999999998,99.9999999999998,162.9609999999999,99.9999999999998,148.2239999999999,112.63500000000009,99.9999999999998,149.92299999999955,199.99999999999974,99.9999999999998,138.27899999999985,152.84199999999984,99.9999999999998,135.34699999999987,178.17999999999978,146.426,142.01999999999992,153.8649999999998,99.9999999999998,99.9999999999998,99.9999999999998,160.29999999999995,194.44599999999974,99.9999999999998,185.53999999999996,181.60699999999997,99.9999999999998
pq21-0324,147.02899999999917,135.29699999999985,0.0,99.99499999999998,99.99499999999998,99.99499999999998,153.36100000000027,99.99499999999998,99.99499999999998,183.50600000000006,99.99499999999998,159.872,183.84600000000006,199.2030000000002,99.99499999999998,139.21500000000006,168.9229999999999,99.99499999999998,99.99499999999998,99.99499999999998,161.13300000000004,152.02200000000005,199.99300000000008,122.19800000000002,99.99499999999998,135.35499999999985,170.08100000000005,146.18,99.99499999999998,99.99499999999998,140.96500000000017,99.99499999999998,99.99499999999998,99.99499999999998,99.99499999999998,168.392,199.99399999999997,154.85899999999984,99.802,99.99499999999998,99.99499999999998,167.947,181.3180000000011,146.17800000000003,199.99600000000004,164.12000000000003,99.99499999999998,129.81800000000004,99.99499999999998,196.2820000000001,99.99499999999998,99.99499999999998,146.18000000000004,99.99499999999998,147.53899999999996,99.99499999999998,123.35900000000007,99.99499999999998,199.995,169.76400000000007,182.05200000000002,99.99499999999998,172.9099999999999,99.99499999999998,142.473,134.7520000000001,99.99499999999998,188.20399999999998,199.9950000000001,99.99499999999998,126.69999999999996,145.82099999999994,99.99499999999998,124.78399999999996,170.17099999999996,163.07300000000023,141.1329999999999,132.33599999999996,99.99499999999998,99.99499999999998,99.99499999999998,190.121,189.7450000000001,99.99499999999998,199.97500000000008,190.4640000000002,99.99499999999998
ContentServer.asp-5,99.99799999999989,99.9999999999998,99.99499999999998,0,0,0,100.00799999999988,0,0,100.0029999999999,0,99.997,99.99500000000002,100.02999999999997,0,100.00600000000003,99.99599999999997,0,0,0,99.99199999999993,99.98900000000002,99.99800000000002,99.99700000000001,0,99.99399999999986,99.994,100.001,0,0,99.99600000000001,0,0,0,0,100.001,99.999,100.0319999999998,100.001,0,0,100.00199999999998,99.92700000000059,99.999,100.00099999999998,99.999,0,100.01100000000004,0,99.98300000000008,0,0,100.00099999999999,0,100.0080000000001,0,99.99600000000011,0,100.0,99.98299999999998,99.999,0,100.01100000000007,0,100.00200000000002,99.98500000000031,0,100.05099999999985,100.0,0,99.995,100.00599999999997,0,100.00499999999997,99.99600000000002,100.02200000000002,99.97000000000004,99.989,0,0,0,99.998,100.0,0,99.98000000000002,100.02500000000013,0
ContentServer.asp-8,99.99799999999989,99.9999999999998,99.99499999999998,0,0,0,100.00799999999988,0,0,100.0029999999999,0,99.997,99.99500000000002,100.02999999999997,0,100.00600000000003,99.99599999999997,0,0,0,99.99199999999993,99.98900000000002,99.99800000000002,99.99700000000001,0,99.99399999999986,99.994,100.001,0,0,99.99600000000001,0,0,0,0,100.001,99.999,100.0319999999998,100.001,0,0,100.00199999999998,99.92700000000059,99.999,100.00099999999998,99.999,0,100.01100000000004,0,99.98300000000008,0,0,100.00099999999999,0,100.0080000000001,0,99.99600000000011,0,100.0,99.98299999999998,99.999,0,100.01100000000007,0,100.00200000000002,99.98500000000031,0,100.05099999999985,100.0,0,99.995,100.00599999999997,0,100.00499999999997,99.99600000000002,100.02200000000002,99.97000000000004,99.989,0,0,0,99.998,100.0,0,99.98000000000002,100.02500000000013,0
1398236,99.99799999999989,99.9999999999998,99.99499999999998,0,0,0,100.00799999999988,0,0,100.0029999999999,0,99.997,99.99500000000002,100.02999999999997,0,100.00600000000003,99.99599999999997,0,0,0,99.99199999999993,99.98900000000002,99.99800000000002,99.99700000000001,0,99.99399999999986,99.994,100.001,0,0,99.99600000000001,0,0,0,0,100.001,99.999,100.0319999999998,100.001,0,0,100.00199999999998,99.92700000000059,99.999,100.00099999999998,99.999,0,100.01100000000004,0,99.98300000000008,0,0,100.00099999999999,0,100.0080000000001,0,99.99600000000011,0,100.0,99.98299999999998,99.999,0,100.01100000000007,0,100.00200000000002,99.98500000000031,0,100.05099999999985,100.0,0,99.995,100.00599999999997,0,100.00499999999997,99.99600000000002,100.02200000000002,99.97000000000004,99.989,0,0,0,99.998,100.0,0,99.98000000000002,100.02500000000013,0
project_muse_439820,126.96400000000001,163.62400000000025,153.36100000000027,100.00799999999988,100.00799999999988,100.00799999999988,0.0,100.00799999999988,100.00799999999988,147.38699999999986,100.00799999999988,144.55899999999988,184.29500000000007,200.03800000000038,100.00799999999988,142.75399999999985,176.07800000000017,100.00799999999988,100.00799999999988,100.00799999999988,147.2880000000002,139.6309999999998,199.664,141.6850000000003,100.00799999999988,155.6560000000002,153.7080000000004,178.0090000000003,100.00799999999988,100.00799999999988,158.68800000000036,100.00799999999988,100.00799999999988,100.00799999999988,100.00799999999988,180.3690000000001,189.53899999999987,120.67799999999956,140.21100000000044,100.00799999999988,100.00799999999988,171.6200000000003,171.4950000000011,178.46300000000025,190.4870000000002,180.36700000000022,100.00799999999988,130.60699999999989,100.00799999999988,172.51100000000028,100.00799999999988,100.00799999999988,178.46500000000023,100.00799999999988,159.60600000000025,100.00799999999988,162.4980000000003,100.00799999999988,190.48800000000026,161.82300000000018,179.37500000000034,100.00799999999988,182.83100000000036,100.00799999999988,154.55400000000026,149.6029999999999,100.00799999999988,183.84900000000002,190.48599999999976,100.00799999999988,126.1469999999999,153.44800000000023,100.00799999999988,135.6629999999999,116.55599999999981,160.67000000000027,141.59799999999973,135.0849999999999,100.00799999999988,100.00799999999988,100.00799999999988,165.08000000000027,191.87400000000022,100.00799999999988,198.0300000000002,177.71300000000045,100.00799999999988
MURRAY-1993-Ethos,99.99799999999989,99.9999999999998,99.99499999999998,0,0,0,100.00799999999988,0,0,100.0029999999999,0,99.997,99.99500000000002,100.02999999999997,0,100.00600000000003,99.99599999999997,0,0,0,99.99199999999993,99.98900000000002,99.99800000000002,99.99700000000001,0,99.99399999999986,99.994,100.001,0,0,99.99600000000001,0,0,0,0,100.001,99.999,100.0319999999998,100.001,0,0,100.00199999999998,99.92700000000059,99.999,100.00099999999998,99.999,0,100.01100000000004,0,99.98300000000008,0,0,100.00099999999999,0,100.0080000000001,0,99.99600000000011,0,100.0,99.98299999999998,99.999,0,100.01100000000007,0,100.00200000000002,99.98500000000031,0,100.05099999999985,100.0,0,99.995,100.00599999999997,0,100.00499999999997,99.99600000000002,100.02200000000002,99.97000000000004,99.989,0,0,0,99.998,100.0,0,99.98000000000002,100.02500000000013,0
Gilead2008_Article_AHumeanArgumentForPersonalIden,99.99799999999989,99.9999999999998,99.99499999999998,0,0,0,100.00799999999988,0,0,100.0029999999999,0,99.997,99.99500000000002,100.02999999999997,0,100.00600000000003,99.99599999999997,0,0,0,99.99199999999993,99.98900000000002,99.99800000000002,99.99700000000001,0,99.99399999999986,99.994,100.001,0,0,99.99600000000001,0,0,0,0,100.001,99.999,100.0319999999998,100.001,0,0,100.00199999999998,99.92700000000059,99.999,100.00099999999998,99.999,0,100.01100000000004,0,99.98300000000008,0,0,100.00099999999999,0,100.0080000000001,0,99.99600000000011,0,100.0,99.98299999999998,99.999,0,100.01100000000007,0,100.00200000000002,99.98500000000031,0,100.05099999999985,100.0,0,99.995,100.00599999999997,0,100.00499999999997,99.99600000000002,100.02200000000002,99.97000000000004,99.989,0,0,0,99.998,100.0,0,99.98000000000002,100.02500000000013,0
533Cottrell,118.97900000000003,178.9129999999999,183.50600000000006,100.0029999999999,100.0029999999999,100.0029999999999,147.38699999999986,100.0029999999999,100.0029999999999,0.0,100.0029999999999,122.52399999999992,188.93000000000012,191.44899999999998,100.0029999999999,132.9629999999999,182.47299999999996,100.0029999999999,100.0029999999999,100.0029999999999,143.27700000000004,145.39799999999997,195.86700000000016,150.69599999999997,100.0029999999999,164.1710000000001,176.7770000000002,189.2380000000002,100.0029999999999,100.0029999999999,178.47700000000017,100.0029999999999,100.0029999999999,100.0029999999999,100.0029999999999,194.9240000000002,166.92599999999996,147.5749999999998,162.69400000000007,100.0029999999999,100.0029999999999,167.28899999999993,166.5100000000007,193.51600000000013,194.13800000000015,195.93200000000013,100.0029999999999,128.21199999999996,100.0029999999999,182.9540000000002,100.0029999999999,100.0029999999999,193.51800000000017,100.0029999999999,174.7850000000001,100.0029999999999,181.91700000000006,100.0029999999999,181.47700000000006,181.88600000000034,195.97400000000013,100.0029999999999,168.7640000000001,100.0029999999999,185.59100000000015,165.8540000000002,100.0029999999999,177.01799999999992,195.01700000000022,100.0029999999999,158.99400000000003,160.09900000000005,100.0029999999999,183.32600000000022,174.7810000000002,171.10900000000004,144.4010000000002,135.58199999999997,100.0029999999999,100.0029999999999,100.0029999999999,153.68900000000008,197.78700000000015,100.0029999999999,193.24299999999994,174.16600000000022,100.0029999999999
