,RelativeTotalCites,project_muse_388510,pq21-0324,ContentServer.asp-5,ContentServer.asp-8,1398236,project_muse_439820,MURRAY-1993-Ethos,Gilead2008_Article_AHumeanArgumentForPersonalIden,533Cottrell,humes_theory_of_the_self_and_its_identity,acpq_1995_0069_0003_0485_0501&pdfname=acpq_1995_0069_0003_0091_0107,Flage_et_al-1984-The_Southern_Journal_of_Philosophy,ContentServer.asp-6,pq30-0061,2653404-2,project_muse_388443,fzt013,project_muse_439818,2182635,project_muse_391081,project_muse_383238,2660181,project_muse_227867,SIRTCO.1,31448-231447-1-PB,WINKLER-2010-Philosophical_Books,project_muse_390704,pq9-0097,project_muse_382731,project_muse_403836,1399612,project_muse_389409,20131803,20009239,ContentServer.asp-3,project_muse_382681,project_muse_388506,project_muse_383386,project_muse_399569,27902511,Levin2007_Article_BundlingHumeWithKripkenstein,out,acpq_1990_0064_0002_0233_0247,Projection and Realism in Hume's Philosophy coventry review,project_muse_389389,27744766,project_muse_388507,ContentServer.asp-2,20532746,project_muse_389490,43155096,Schwerin2012_Article_HumeOnTheSelf,project_muse_389493,41441496,humes_theory_of_the_self_revisited,project_muse_388509,2106947,2239-Article Text-2582-1-10-20140925,Kail-2008-European_Journal_of_Philosophy,20126883,project_muse_365207,ipq_2004_0044_0002_0276_0278&pdfname=ipq_2004_0044_0002_0134_0136,26303717,20708617,project_muse_596651,project_muse_383297,project_muse_228761,fshow,project_muse_385510,9780470776377.ch8,2184977,ContentServer.asp-7,project_muse_383344,ContentServer.asp-4,40232176,project_muse_553401,27745095,23598030,Prolegomena_11_2_2012_Article_Lybaert,Projection and Realism in Hume s Philosophy,project_muse_382933,project_muse_511194,3327575,project_muse_382726,24439665,project_muse_383319
RelativeTotalCites,0.0,142.3349999999993,150.3909999999988,196.8549999999984,191.18299999999832,99.9970000000006,137.8360000000004,99.9970000000006,195.44299999999845,123.72100000000067,163.80099999999862,141.50700000000072,185.65499999999855,155.89199999999857,166.0959999999985,136.66800000000063,154.3859999999986,187.5379999999986,99.9970000000006,99.9970000000006,144.45699999999886,128.99100000000072,179.7799999999985,133.3780000000006,99.9970000000006,137.33000000000038,155.90699999999856,172.55099999999868,157.64599999999862,176.1069999999985,143.2669999999993,159.04199999999855,99.9970000000006,190.24799999999826,99.9970000000006,182.5119999999983,192.18400000000048,117.91000000000061,124.68400000000057,196.78699999999847,99.9970000000006,166.3039999999985,121.48300000000039,144.3159999999989,187.84399999999846,187.60899999999856,145.11099999999868,117.80900000000065,99.9970000000006,168.6469999999985,174.81699999999856,198.92899999999867,179.76599999999846,166.3059999999986,151.7509999999986,178.82899999999844,159.69799999999856,192.88499999999848,196.05499999999856,159.09799999999854,163.86799999999863,197.0989999999984,166.79699999999858,198.58699999999854,146.07299999999987,120.96500000000064,99.9970000000006,145.83800000000045,198.2509999999985,192.68899999999832,127.90600000000052,144.5509999999994,196.8549999999984,153.32799999999853,163.86699999999854,137.80500000000032,93.16800000000059,135.4240000000006,99.9970000000006,187.6310000000005,99.9970000000006,164.67499999999868,194.21399999999844,172.6000000000005,164.78999999999968,166.82099999999852,195.42999999999842
project_muse_388510,142.3349999999993,0.0,157.4159999999999,199.99599999999995,199.98200000000003,99.99200000000005,170.2509999999999,99.99200000000005,199.99199999999993,178.20000000000022,162.79399999999995,167.24600000000012,193.5179999999999,187.9369999999999,166.59899999999988,150.3970000000001,122.101,171.39299999999994,99.99200000000005,99.99200000000005,133.56400000000005,157.20799999999988,180.65699999999995,168.38899999999998,99.99200000000005,149.40499999999963,180.326,157.56999999999988,151.5189999999998,185.33199999999994,152.378,155.08699999999982,99.99200000000005,190.92099999999982,99.99200000000005,193.55100000000002,199.99100000000004,159.55299999999994,154.24099999999967,199.992,99.99200000000005,188.51100000000002,166.13800000000032,155.7910000000002,199.98299999999995,185.60399999999993,163.07399999999998,140.1220000000001,99.99200000000005,196.82800000000006,190.91599999999997,199.994,177.26499999999996,175.73899999999998,163.69799999999987,175.73799999999991,162.89299999999983,190.91,199.99199999999996,174.66699999999966,174.53300000000002,199.99399999999994,180.3619999999994,199.992,157.9859999999998,133.06400000000022,99.99200000000005,153.0130000000004,199.992,199.986,152.75699999999986,155.56999999999977,199.99599999999995,155.01899999999966,172.7979999999999,157.97199999999933,151.7869999999997,157.52300000000017,99.99200000000005,199.99200000000002,99.99200000000005,158.01000000000013,196.19899999999996,188.6290000000001,178.70899999999995,184.81800000000032,199.9949999999999
pq21-0324,150.3909999999988,157.4159999999999,0.0,193.346,188.88800000000003,100.01200000000004,160.36899999999991,100.01200000000004,200.01200000000006,180.65200000000013,143.34200000000007,163.73799999999997,189.63799999999995,192.3369999999999,144.93499999999997,153.85099999999997,167.34300000000013,193.33700000000002,100.01200000000004,100.01200000000004,176.91799999999998,151.02000000000015,186.31900000000005,141.8010000000001,100.01200000000004,151.55899999999983,186.30400000000006,176.688,160.095,177.79000000000008,145.244,147.24500000000006,100.01200000000004,180.75299999999996,100.01200000000004,183.25900000000013,200.01100000000002,150.03700000000018,128.63099999999997,200.01199999999997,100.01200000000004,179.06500000000014,176.972,146.06500000000008,191.663,184.46400000000008,142.7940000000001,140.41000000000008,100.01200000000004,183.34800000000007,193.34199999999998,200.014,176.68699999999998,148.3530000000001,157.58000000000004,177.79799999999997,157.93899999999996,200.014,200.01200000000006,176.37499999999986,178.90100000000004,195.56399999999994,190.70999999999978,200.01199999999997,156.818,137.2140000000002,100.01200000000004,182.30900000000028,200.01199999999997,193.44799999999992,139.17300000000012,158.49800000000008,193.346,149.52299999999994,177.09200000000004,167.93399999999937,149.84699999999998,143.85700000000006,100.01200000000004,200.012,100.01200000000004,182.2420000000001,195.56500000000005,178.90900000000008,194.4729999999999,193.11400000000046,197.7929999999999
ContentServer.asp-5,196.8549999999984,199.99599999999995,193.346,0.0,190.00400000000016,100.00399999999998,200.01699999999997,100.00399999999998,200.00400000000002,197.70600000000016,200.00600000000009,200.01199999999992,200.01,191.98700000000017,200.00300000000004,200.00299999999996,199.9910000000002,199.99499999999983,100.00399999999998,100.00399999999998,200.00600000000057,198.29400000000007,175.007,200.00700000000006,100.00399999999998,195.04700000000017,197.87400000000014,200.00600000000003,200.00499999999994,200.00000000000006,200.01,200.00300000000004,100.00399999999998,188.24500000000003,100.00399999999998,179.58100000000007,200.003,198.79500000000002,199.80499999999984,200.0040000000001,100.00399999999998,200.00900000000019,194.85400000000038,200.00900000000027,195.99500000000003,200.00400000000005,195.83800000000016,199.98800000000003,100.00399999999998,197.18600000000023,200.00000000000009,200.00600000000003,200.00500000000005,200.007,196.82800000000023,200.00600000000009,199.997,200.00600000000014,200.00400000000005,187.15100000000032,200.01300000000006,159.99,191.60200000000003,200.0040000000001,200.01,199.99799999999988,100.00399999999998,199.83700000000033,200.0040000000001,186.12000000000006,199.87500000000009,200.00999999999996,0.0,199.99300000000014,200.0,198.24799999999905,197.05899999999946,200.01100000000014,100.00399999999998,200.00399999999996,100.00399999999998,190.00200000000018,199.99900000000008,200.005,196.4649999999997,199.71199999999956,200.007
ContentServer.asp-8,191.18299999999832,199.98200000000003,188.88800000000003,190.00400000000016,0.0,99.99000000000004,196.21699999999998,99.99000000000004,176.65400000000005,194.7640000000001,198.02600000000012,194.886,189.99599999999998,186.7129999999996,199.9890000000001,195.05899999999994,199.97700000000043,189.9809999999999,99.99000000000004,99.99000000000004,199.99200000000064,182.88600000000002,179.723,199.99300000000014,99.99000000000004,198.42500000000038,178.71199999999982,199.99200000000005,190.90099999999995,188.8700000000001,199.33600000000004,199.98900000000003,99.99000000000004,172.73300000000012,99.99000000000004,182.04699999999985,199.98900000000003,195.88500000000002,198.23699999999974,187.498,99.99000000000004,183.8530000000002,191.4259999999998,198.2990000000002,179.31500000000008,199.99000000000004,199.9920000000002,192.972,99.99000000000004,185.64399999999964,179.9940000000001,199.99200000000005,199.99100000000004,188.57100000000003,197.45000000000036,199.9920000000001,199.98300000000003,197.492,189.9900000000001,193.79300000000012,199.99900000000008,199.99200000000016,196.63000000000005,186.65800000000002,189.87800000000004,199.9839999999999,99.99000000000004,195.95100000000045,199.98999999999998,196.65400000000025,199.99100000000018,199.99600000000007,190.00400000000016,193.92300000000023,199.986,194.39199999999929,188.06899999999973,194.06900000000022,99.99000000000004,199.99,99.99000000000004,197.48800000000017,157.4870000000001,186.65900000000005,197.2349999999997,182.71999999999957,187.49300000000002
1398236,99.9970000000006,99.99200000000005,100.01200000000004,100.00399999999998,99.99000000000004,0,100.01300000000003,0,100.00000000000001,99.98800000000001,100.00199999999998,100.00799999999998,100.00599999999999,100.0270000000002,99.99900000000001,99.99899999999994,99.98699999999994,99.991,0,0,100.00199999999998,100.02200000000009,100.01299999999998,100.00299999999996,0,99.99100000000013,99.998,100.002,100.00099999999999,99.99600000000001,100.006,99.99900000000002,0,100.0009999999999,0,100.00900000000011,99.999,99.96700000000018,100.01700000000008,100.0,0,100.00500000000002,99.99000000000068,100.00500000000005,99.99099999999997,100.0,100.00200000000004,99.98399999999998,0,100.01800000000007,99.99600000000002,100.00200000000001,100.00099999999999,100.00300000000006,99.98799999999996,100.00200000000002,99.99300000000005,100.00200000000004,100.0,99.9889999999999,100.00900000000001,100.00199999999995,99.96999999999994,100.0,100.00599999999996,99.99400000000031,0,99.97500000000007,100.0,99.99399999999991,100.00100000000005,100.00599999999997,100.00399999999998,99.989,99.99600000000002,99.99600000000012,100.01900000000033,100.00699999999996,0,100.0,0,99.99800000000002,99.99499999999999,100.001,99.98899999999993,100.02000000000042,100.00299999999993
project_muse_439820,137.8360000000004,170.2509999999999,160.36899999999991,200.01699999999997,196.21699999999998,100.01300000000003,0.0,100.01300000000003,186.3809999999999,148.7630000000003,163.4549999999998,146.8330000000003,185.09899999999976,195.12999999999977,170.43199999999973,144.31400000000033,177.8280000000001,197.29799999999997,100.01300000000003,100.01300000000003,154.56499999999988,153.21099999999979,187.78399999999993,137.2660000000002,100.01300000000003,158.75199999999953,179.37099999999992,179.01299999999986,166.00399999999996,189.42299999999997,159.52499999999966,166.70999999999978,100.01300000000003,195.24999999999986,100.01300000000003,193.57199999999997,190.02000000000004,132.12399999999985,142.31199999999984,190.92299999999997,100.01300000000003,180.48599999999996,171.96299999999982,163.55399999999977,192.7419999999998,181.26699999999994,150.16099999999992,136.77700000000033,100.01300000000003,173.45499999999998,172.6109999999999,199.56500000000005,179.45199999999974,156.00999999999996,161.04500000000002,180.31899999999976,166.502,181.83499999999998,190.92499999999998,160.22799999999947,168.28399999999985,199.1349999999999,192.68699999999941,200.01299999999998,177.14299999999997,149.83499999999987,100.01300000000003,185.48600000000036,190.92299999999997,200.00699999999992,129.60200000000026,154.69099999999997,200.01699999999997,136.62600000000015,119.7970000000003,165.02299999999963,145.03199999999975,137.04600000000025,100.01300000000003,185.62300000000008,100.01300000000003,167.2029999999997,192.24399999999994,166.30200000000028,195.1599999999999,178.0630000000004,200.01599999999988
MURRAY-1993-Ethos,99.9970000000006,99.99200000000005,100.01200000000004,100.00399999999998,99.99000000000004,0,100.01300000000003,0,100.00000000000001,99.98800000000001,100.00199999999998,100.00799999999998,100.00599999999999,100.0270000000002,99.99900000000001,99.99899999999994,99.98699999999994,99.991,0,0,100.00199999999998,100.02200000000009,100.01299999999998,100.00299999999996,0,99.99100000000013,99.998,100.002,100.00099999999999,99.99600000000001,100.006,99.99900000000002,0,100.0009999999999,0,100.00900000000011,99.999,99.96700000000018,100.01700000000008,100.0,0,100.00500000000002,99.99000000000068,100.00500000000005,99.99099999999997,100.0,100.00200000000004,99.98399999999998,0,100.01800000000007,99.99600000000002,100.00200000000001,100.00099999999999,100.00300000000006,99.98799999999996,100.00200000000002,99.99300000000005,100.00200000000004,100.0,99.9889999999999,100.00900000000001,100.00199999999995,99.96999999999994,100.0,100.00599999999996,99.99400000000031,0,99.97500000000007,100.0,99.99399999999991,100.00100000000005,100.00599999999997,100.00399999999998,99.989,99.99600000000002,99.99600000000012,100.01900000000033,100.00699999999996,0,100.0,0,99.99800000000002,99.99499999999999,100.001,99.98899999999993,100.02000000000042,100.00299999999993
Gilead2008_Article_AHumeanArgumentForPersonalIden,195.44299999999845,199.99199999999993,200.01200000000006,200.00400000000002,176.65400000000005,100.00000000000001,186.3809999999999,100.00000000000001,0.0,193.03200000000012,200.00200000000004,197.21799999999988,200.00599999999997,195.2629999999997,199.99899999999997,195.06899999999993,199.9870000000002,199.99099999999987,100.00000000000001,100.00000000000001,200.00200000000055,198.29000000000008,200.01299999999986,200.00300000000004,100.00000000000001,199.99100000000013,185.11399999999975,200.00199999999995,196.97099999999992,199.99600000000004,196.04599999999994,199.99899999999997,100.00000000000001,176.48699999999997,100.00000000000001,200.0089999999998,199.99900000000002,199.96699999999996,198.8769999999998,149.96999999999997,100.00000000000001,193.66100000000006,193.36999999999966,197.74500000000023,191.99099999999993,199.9999999999999,200.00200000000015,198.818,100.00000000000001,197.88999999999956,176.468,200.002,200.00099999999998,180.945,199.9880000000003,200.002,199.993,153.322,200.0,199.9890000000001,200.00900000000001,200.00200000000007,199.96999999999997,159.97599999999994,198.81600000000003,196.9439999999999,100.00000000000001,196.05300000000034,159.97599999999994,199.99400000000014,200.00100000000015,200.00599999999991,200.00400000000002,197.97100000000006,168.41199999999992,199.47599999999898,195.9229999999997,197.40900000000013,100.00000000000001,200.0,100.00000000000001,199.9980000000001,199.99499999999995,175.001,196.85299999999964,196.56799999999953,200.00299999999987
533Cottrell,123.72100000000067,178.20000000000022,180.65200000000013,197.70600000000016,194.7640000000001,99.98800000000001,148.7630000000003,99.98800000000001,193.03200000000012,0.0,186.98600000000013,126.70799999999996,188.25400000000016,172.80700000000013,189.0630000000002,129.15099999999987,180.92100000000016,187.307,99.98800000000001,99.98800000000001,153.14,149.6340000000001,186.28900000000013,145.90700000000004,99.98800000000001,163.741,173.09600000000003,189.36200000000017,174.01100000000017,191.19200000000012,177.96800000000013,181.59300000000013,99.98800000000001,192.92700000000008,99.98800000000001,188.50300000000013,167.29500000000007,149.32100000000008,162.43899999999994,192.95800000000014,99.98800000000001,172.23900000000012,164.29800000000083,175.00100000000003,193.0270000000001,195.96600000000012,166.34000000000003,128.86599999999996,99.98800000000001,178.0340000000001,138.76399999999992,198.15800000000002,193.58100000000013,169.83300000000008,174.90600000000018,193.2360000000002,181.5830000000002,191.70400000000015,181.67599999999993,181.28500000000003,160.539,198.95200000000017,176.99399999999997,197.9600000000001,175.5119999999999,163.1500000000003,99.98800000000001,172.13899999999995,195.06000000000012,196.196,159.06499999999997,160.354,197.70600000000016,182.45100000000005,174.98400000000018,171.76800000000014,144.3610000000002,136.36899999999991,99.98800000000001,156.75000000000006,99.98800000000001,156.006,197.2170000000001,145.61500000000004,183.88299999999987,175.35000000000008,198.01099999999997
